유닛ID,등급,유닛이름,회수경로,출처,계산식,basis축,basis대응,공격타입,피해타입,비고,absolute_cooldown_s,쿨근거버프,쿨근거능력,rand_min,rand_max,rand_mean,더미채널판정,더미_피해값,원작게이트,게이트확신도,평타트리거유닛,더미채널판정_검증
h02Y,전설적인,몽키.D.루피 나이트메어 - 전설적인,트리거,Trig_Legend22,s__TrigVariables__get_realC(GlobalTV),앞단계중간값,❌ 스키마에 없음,NORMAL,UNIVERSAL,,0,조사함-게이트밖,,1,1,1,해당없음(트리거 채널),,"(무조건) ‖ Stage[GlobalTV]==0 ‖ Stage[GlobalTV]==1 ‖ Stage[GlobalTV]==1 AND GetRandomInt(1,33)==3 AND 능력레벨('A0TU',unitA)<6 ‖ Stage[GlobalTV]==1 AND GetUnitPointValue(unitB)==200 AND (realB>100.00) ‖ Stage[GlobalTV]==1 AND NOT(버프보유(unitB,'B06B')==true) AND (realB>360000.00) ‖ Stage[GlobalTV]==1 AND 버프보유(unitB,'B06B')==true ‖ Stage[GlobalTV]==2",추정(지점 여럿),h02Y,
h02Y,전설적인,몽키.D.루피 나이트메어 - 전설적인,트리거,Trig_Legend22,s__TrigVariables__get_realC(GlobalTV),앞단계중간값,❌ 스키마에 없음,NORMAL,UNIVERSAL,,0,조사함-게이트밖,,1,1,1,해당없음(트리거 채널),,"(무조건) ‖ Stage[GlobalTV]==0 ‖ Stage[GlobalTV]==1 ‖ Stage[GlobalTV]==1 AND GetRandomInt(1,33)==3 AND 능력레벨('A0TU',unitA)<6 ‖ Stage[GlobalTV]==1 AND GetUnitPointValue(unitB)==200 AND (realB>100.00) ‖ Stage[GlobalTV]==1 AND NOT(버프보유(unitB,'B06B')==true) AND (realB>360000.00) ‖ Stage[GlobalTV]==1 AND 버프보유(unitB,'B06B')==true ‖ Stage[GlobalTV]==2",추정(지점 여럿),h02Y,
h02Y,전설적인,몽키.D.루피 나이트메어 - 전설적인,트리거,Trig_Legend22,500000.00,Flat,✅ Flat,CHAOS,UNIVERSAL,,0,조사함-게이트밖,,1,1,1,해당없음(트리거 채널),,Stage[GlobalTV]==1 AND GetUnitPointValue(unitB)==200 AND (realB>100.00),확정,h02Y,
h02Y,전설적인,몽키.D.루피 나이트메어 - 전설적인,트리거,Trig_Legend22,3000000.00,Flat,✅ Flat,CHAOS,UNIVERSAL,,0,조사함-게이트밖,,1,1,1,해당없음(트리거 채널),,"Stage[GlobalTV]==1 AND 버프보유(unitB,'B06B')==true",확정,h02Y,
h02Y,전설적인,몽키.D.루피 나이트메어 - 전설적인,트리거,Trig_Legend22,400000.00,Flat,✅ Flat,CHAOS,UNIVERSAL,,0,조사함-게이트밖,,1,1,1,해당없음(트리거 채널),,"Stage[GlobalTV]==1 AND NOT(버프보유(unitB,'B06B')==true) AND (realB>360000.00)",확정,h02Y,
h02Y,전설적인,몽키.D.루피 나이트메어 - 전설적인,더미,Trig_Legend22 → e034(!전설 루피나이트메어 그림자일격 더미1) → A0O8,Inf3=500 Inf1=4.5,스톡능력필드,✅ Flat(값 그대로),[미확인],[미확인],4지정 그림자 흡수 공격력증가 / 필드뜻[미확인],0,조사함-없음(더미채널),,해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),❌ 피해 아님(버프·디버프·배율·지속),0,해당없음(더미채널 — DUMMY_CHANNEL_GATES.csv 참고),해당없음,,✅ 태그 맞음(2026-09-06 재검증: base·atar·오더 4단계 대조)
h02Z,전설적인,바르토로메오 신예 초신성- 식인 - 전설적인,트리거,Trig_Legend15,(150000.00+(1500.00*I2R(GetUnitPointValue(GetEnumUnit())))),대상포인트값(보스플래그),❌ 스키마에 없음,NORMAL,UNIVERSAL,,0,조사함-게이트밖,,1,1,1,해당없음(트리거 채널),,"GetRandomInt(1,10)==3",확정,h02Z,
h030,전설적인,바솔로뮤 쿠마 폭군 - 전설적인,트리거,Trig_Legend6,"(2450000.00+((GetUnitStateSwap(UNIT_STATE_MAX_LIFE,GetEnumUnit())-GetUnitStateSwap(UNIT_STATE_LIFE,GetEnumUnit()))*0.04))",대상최대체력+대상현재체력,✅ TargetMaxHpPercent+TargetCurrentHpPercent,NORMAL,UNIVERSAL,,0,조사함-게이트밖,,1,1,1,해당없음(트리거 채널),,(시전자마나==115.00),확정,h030,
h030,전설적인,바솔로뮤 쿠마 폭군 - 전설적인,더미,Trig_Legend6 → e00E(!전설 쿠마 스턴 더미2) → A07K,Wrs1=200000,스톡능력필드,✅ Flat(값 그대로),[미확인],[미확인],2범위 쿠마전설 스턴 / 필드뜻[미확인],0,조사함-없음(더미채널),,해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),⭕ 피해 있음 — AOws 전쟁의 함성 — 피해,"200,000",해당없음(더미채널 — DUMMY_CHANNEL_GATES.csv 참고),해당없음,,
h030,전설적인,바솔로뮤 쿠마 폭군 - 전설적인,더미,Trig_Legend6 → e00F(!전설 쿠마 마나스킬 더미) → A07L,Wrs1=1e+06,스톡능력필드,✅ Flat(값 그대로),[미확인],[미확인],2범위 레일리전설 스턴 / 필드뜻[미확인],0,조사함-없음(더미채널),,해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),⭕ 피해 있음 — AOws 전쟁의 함성 — 피해,"1,000,000",해당없음(더미채널 — DUMMY_CHANNEL_GATES.csv 참고),해당없음,,
h030,전설적인,바솔로뮤 쿠마 폭군 - 전설적인,더미,Trig_Legend6 → e0KD(!전설 쿠마 스턴 더미) → A07K,Wrs1=200000,스톡능력필드,✅ Flat(값 그대로),[미확인],[미확인],2범위 쿠마전설 스턴 / 필드뜻[미확인],0,조사함-없음(더미채널),,해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),⭕ 피해 있음 — AOws 전쟁의 함성 — 피해,"200,000",해당없음(더미채널 — DUMMY_CHANNEL_GATES.csv 참고),해당없음,,
h030,전설적인,바솔로뮤 쿠마 폭군 - 전설적인,더미,Trig_Legend6 → e0KE(!전설 쿠마 스턴 더미1) → A07K,Wrs1=200000,스톡능력필드,✅ Flat(값 그대로),[미확인],[미확인],2범위 쿠마전설 스턴 / 필드뜻[미확인],0,조사함-없음(더미채널),,해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),⭕ 피해 있음 — AOws 전쟁의 함성 — 피해,"200,000",해당없음(더미채널 — DUMMY_CHANNEL_GATES.csv 참고),해당없음,,
h031,전설적인,후지토라 잇쇼우 '신'해군대장 - 전설적인,트리거,Trig_Legend11,577500.00,Flat,✅ Flat,CHAOS,NORMAL,,0,조사함-게이트밖,,1,1,1,해당없음(트리거 채널),,"GetRandomInt(1,7)==6",확정,h031,
h031,전설적인,후지토라 잇쇼우 '신'해군대장 - 전설적인,더미,Trig_Legend11 → e00B(!전설 후지토라 더미2) → A07U,Wrs1=192500,스톡능력필드,✅ Flat(값 그대로),[미확인],[미확인],2범위 후지전설 스턴 / 필드뜻[미확인],0,조사함-없음(더미채널),,해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),⭕ 피해 있음 — AOws 전쟁의 함성 — 피해,"192,500",해당없음(더미채널 — DUMMY_CHANNEL_GATES.csv 참고),해당없음,,
h031,전설적인,후지토라 잇쇼우 '신'해군대장 - 전설적인,더미,Trig_Legend11 → e00Z(!전설 후지토라 더미) → A07U,Wrs1=192500,스톡능력필드,✅ Flat(값 그대로),[미확인],[미확인],2범위 후지전설 스턴 / 필드뜻[미확인],0,조사함-없음(더미채널),,해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),⭕ 피해 있음 — AOws 전쟁의 함성 — 피해,"192,500",해당없음(더미채널 — DUMMY_CHANNEL_GATES.csv 참고),해당없음,,
h034,전설적인,상디 검은다리 '슈트 코스' - 전설적인,트리거,Trig_Legend1sc,100000.00,Flat,✅ Flat,NORMAL,UNIVERSAL,,0,조사함-게이트밖,,0.8,1.5,1.15,해당없음(트리거 채널),,"GetRandomInt(1,7)==4",확정,h034,
h034,전설적인,상디 검은다리 '슈트 코스' - 전설적인,트리거,Trig_Legend1sc,"((GetUnitStateSwap(UNIT_STATE_LIFE,GetTriggerUnit())*0.18)*(0.2+(0.05*I2R(GetUnitAbilityLevelSwapped('A11S',GetTriggerUnit())))))",대상현재체력+능력레벨,✅ TargetCurrentHpPercent+계수(대상A11S(폭발형 피해 감수도) 축),SIEGE,UNIVERSAL,,0,조사함-게이트밖,,1,1,1,해당없음(트리거 채널),,"GetRandomInt(1,7)==4 AND GetUnitPointValue(GetTriggerUnit())<200",확정,h034,
h034,전설적인,상디 검은다리 '슈트 코스' - 전설적인,트리거,Trig_Legend1sc,280000.00,Flat,✅ Flat,NORMAL,UNIVERSAL,,0,조사함-게이트밖,,0.8,1.5,1.15,해당없음(트리거 채널),,"GetRandomInt(1,7)==4 AND NOT(GetUnitPointValue(GetTriggerUnit())<200)",확정,h034,
h035,전설적인,샹크스 사황 '붉은머리' - 전설적인,더미,Trig_Legend10 → e00V(!전설 샹크스 스턴) → A07T,Wrs1=125000,스톡능력필드,✅ Flat(값 그대로),[미확인],[미확인],2범위 샹크스전설 스턴 / 필드뜻[미확인],0,조사함-없음(더미채널),,해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),⭕ 피해 있음 — AOws 전쟁의 함성 — 피해,"125,000",해당없음(더미채널 — DUMMY_CHANNEL_GATES.csv 참고),해당없음,,
h036,전설적인,센고쿠 전 해군 원수 - 전설적인,트리거,Trig_Legend8,465000.00,Flat,✅ Flat,HERO,NORMAL,,0,조사함-게이트밖,,1,1.25,1.125,해당없음(트리거 채널),,"GetRandomInt(1,10)==3 AND GetUnitPointValue(GetTriggerUnit())>199",확정,h036,
h036,전설적인,센고쿠 전 해군 원수 - 전설적인,더미,Trig_Legend8 → e00A(!전설 센고쿠 인의 더미) → A058,Roa5=1 Roa1=0.4 Roa2=-18 Roa4=0.25 Roa3=0.25,스톡능력필드,✅ Flat(값 그대로),[미확인],[미확인],!인의 액티브 / 필드뜻[미확인],0,조사함-없음(더미채널),,해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),❌ 피해 아님(버프·디버프·배율·지속),0,해당없음(더미채널 — DUMMY_CHANNEL_GATES.csv 참고),해당없음,,✅ 태그 맞음(2026-09-06 재검증: base·atar·오더 4단계 대조)
h039,전설적인,시키 금사자 - 전설적인,더미,Trig_Legend4 → e008(!전설 시키 더미) → A07E,Wrs1=145000,스톡능력필드,✅ Flat(값 그대로),[미확인],[미확인],2범위 시키전설 스턴 / 필드뜻[미확인],0,조사함-없음(더미채널),,해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),⭕ 피해 있음 — AOws 전쟁의 함성 — 피해,"145,000",해당없음(더미채널 — DUMMY_CHANNEL_GATES.csv 참고),해당없음,,
h03A,전설적인,실버즈 레일리 로저해적단 부선장 - 전설적인,트리거,Trig_Legend7,1200000.00,Flat,✅ Flat,CHAOS,NORMAL,,0,조사함-게이트밖,,0.8,1.5,1.15,해당없음(트리거 채널),,시전자마나==115.00,확정,h03A,
h03A,전설적인,실버즈 레일리 로저해적단 부선장 - 전설적인,더미,Trig_Legend7 → e00J(!전설 레일리 마나스킬 더미3) → A083,atac=2,스톡능력필드,✅ Flat(값 그대로),[미확인],[미확인],스피어 레일리마나더미 / 필드뜻[미확인],0,조사함-없음(더미채널),,해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),❌ 피해 아님(버프·디버프·배율·지속),0,해당없음(더미채널 — DUMMY_CHANNEL_GATES.csv 참고),해당없음,,✅ 태그 맞음(2026-09-06 재검증: base·atar·오더 4단계 대조)
h03A,전설적인,실버즈 레일리 로저해적단 부선장 - 전설적인,더미,Trig_Legend7 → e00J(!전설 레일리 마나스킬 더미3) → A07L,Wrs1=1e+06,스톡능력필드,✅ Flat(값 그대로),[미확인],[미확인],2범위 레일리전설 스턴 / 필드뜻[미확인],0,조사함-없음(더미채널),,해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),⭕ 피해 있음 — AOws 전쟁의 함성 — 피해,"1,000,000",해당없음(더미채널 — DUMMY_CHANNEL_GATES.csv 참고),해당없음,,
h03C,전설적인,트라팔가 로우 하트 해적단 선장 - 전설적인,트리거,Trig_Legend16sc,"(10000.00+(GetUnitStateSwap(UNIT_STATE_LIFE,GetTriggerUnit())*0.15))",대상현재체력,✅ TargetCurrentHpPercent,NORMAL,UNIVERSAL,,0,조사함-게이트밖,,1,1,1,해당없음(트리거 채널),,"GetRandomInt(1,8)==3 AND 버프보유(GetTriggerUnit(),'B06B')==true",확정,h03C,
h03E,전설적인,코비 세계의 운명을 바꾼 해군루키 - 전설적인,트리거,Trig_Legend28koby,"((GetUnitStateSwap(UNIT_STATE_LIFE,GetTriggerUnit())*0.27)*(0.20+(0.05*I2R(GetUnitAbilityLevelSwapped('A11S',GetTriggerUnit())))))",대상현재체력+능력레벨,✅ TargetCurrentHpPercent+계수(대상A11S(폭발형 피해 감수도) 축),MELEE,UNIVERSAL,,0,조사함-게이트밖,,1,1,1,해당없음(트리거 채널),,"GetRandomInt(1,8)==3 AND GetUnitPointValue(GetTriggerUnit())<200",확정,h03E,
h03E,전설적인,코비 세계의 운명을 바꾼 해군루키 - 전설적인,트리거,Trig_Legend28koby,100000.00,Flat,✅ Flat,NORMAL,UNIVERSAL,,0,조사함-게이트밖,,1,1,1,해당없음(트리거 채널),,"GetRandomInt(1,8)==3 ‖ GetRandomInt(1,8)==3 AND NOT(GetUnitPointValue(GetTriggerUnit())<200)",추정(지점 여럿),h03E,
h03E,전설적인,코비 세계의 운명을 바꾼 해군루키 - 전설적인,더미,Trig_Legend28koby → e0DR(!전설 코비 마나) → A0O1,Roa1=-0.2 Roa4=1 Roa3=1,스톡능력필드,✅ Flat(값 그대로),[미확인],[미확인],7용기의 외침1 / 필드뜻[미확인],0,조사함-없음(더미채널),,해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),❌ 피해 아님(버프·디버프·배율·지속),0,해당없음(더미채널 — DUMMY_CHANNEL_GATES.csv 참고),해당없음,,✅ 태그 맞음(2026-09-06 재검증: base·atar·오더 4단계 대조)
h03G,전설적인,징베 전 칠무해 어인족 수장 - 전설적인,트리거,Trig_Legend2,1000000.00,Flat,✅ Flat,NORMAL,UNIVERSAL,,0,조사함-게이트밖,,1,1,1,해당없음(트리거 채널),,(시전자마나==145.00),확정,h03G,
h03G,전설적인,징베 전 칠무해 어인족 수장 - 전설적인,더미,Trig_Legend2 → e000(!전설 징베 마나스킬 더미) → A077,Htc1=2e+06,스톡능력필드,✅ Flat(값 그대로),[미확인],[미확인],!징베전설 마나스킬 액티브 / 필드뜻[미확인],0,조사함-없음(더미채널),,해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),⭕ 피해 있음 — AHtc 천둥 강타 — 피해,"2,000,000",해당없음(더미채널 — DUMMY_CHANNEL_GATES.csv 참고),해당없음,,
h03G,전설적인,징베 전 칠무해 어인족 수장 - 전설적인,더미,Trig_Legend2 → e006(!전설 징베 더미) → A001,arlv=1 Nst2=225 Nst1=10 Nst3=150000 Nst4=285,스톡능력필드,✅ Flat(값 그대로),[미확인],[미확인],0장풍 징베해류2 / 필드뜻[미확인],0,조사함-없음(더미채널),,해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),⭕ 피해 있음 — ANst 짓밟기 — 피해,"150,000",해당없음(더미채널 — DUMMY_CHANNEL_GATES.csv 참고),해당없음,,
h03G,전설적인,징베 전 칠무해 어인족 수장 - 전설적인,더미,Trig_Legend2 → e006(!전설 징베 더미) → A07B,Ufa1=7,스톡능력필드,✅ Flat(값 그대로),[미확인],[미확인],5절대쿨 징베 / 필드뜻[미확인],0,조사함-없음(더미채널),,해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),❌ 피해 아님(버프·디버프·배율·지속),0,해당없음(더미채널 — DUMMY_CHANNEL_GATES.csv 참고),해당없음,,✅ 태그 맞음(2026-09-06 재검증: base·atar·오더 4단계 대조)
h03H,전설적인,샬롯 크래커 빅맘 3장성 - 전설적인,트리거,Trig_Legend20,250000.00,Flat,✅ Flat,NORMAL,UNIVERSAL,,0,조사함-게이트밖,,1,1,1,해당없음(트리거 채널),,"GetRandomInt(1,12)==3",확정,h03H,
h03H,전설적인,샬롯 크래커 빅맘 3장성 - 전설적인,트리거,Trig_Legend20,20000.00,Flat,✅ Flat,NORMAL,UNIVERSAL,,0,조사함-게이트밖,,1,1,1,해당없음(트리거 채널),,(무조건),확정,h03H,
h03I,전설적인,제파 전 해군 대장 '흑완' - 전설적인,트리거,Trig_Legend23,"(GetUnitStateSwap(UNIT_STATE_LIFE,GetTriggerUnit())*(0.01))",대상현재체력,✅ TargetCurrentHpPercent,NORMAL,UNIVERSAL,,0,조사함-게이트밖,,1.85,1.85,1.85,해당없음(트리거 채널),,"GetRandomInt(1,4)==3 AND GetUnitPointValue(GetTriggerUnit())==200 ‖ GetRandomInt(1,4)==3 AND 버프보유(GetTriggerUnit(),'B06B')==true",추정(지점 여럿),h03I,
h03I,전설적인,제파 전 해군 대장 '흑완' - 전설적인,트리거,Trig_Legend23,"(GetUnitStateSwap(UNIT_STATE_MAX_LIFE,GetTriggerUnit())*(0.08))",대상최대체력,✅ TargetMaxHpPercent,NORMAL,UNIVERSAL,,0,조사함-게이트밖,,1,1,1,해당없음(트리거 채널),,"GetRandomInt(1,4)==3 AND GetUnitPointValue(GetTriggerUnit())==200 ‖ GetRandomInt(1,4)==3 AND 버프보유(GetTriggerUnit(),'B06B')==true",추정(지점 여럿),h03I,
h03K,전설적인,Dr.히루루크 나라를 치료한 의사 - 전설적인,트리거,Trig_Legend29,"(GetUnitStateSwap(UNIT_STATE_MAX_LIFE,GetEnumUnit())*0.50)",대상최대체력,✅ TargetMaxHpPercent,HERO,UNIVERSAL,,0,조사함-게이트밖,,1,1,1,해당없음(트리거 채널),,"(능력레벨('A0K9',GetAttacker())==1) AND (GetUnitPointValue(GetTriggerUnit())<199 AND GetRandomInt(1,40)<2)",확정,h03K,
h03K,전설적인,Dr.히루루크 나라를 치료한 의사 - 전설적인,더미,Trig_Legend29 → e0DX(!전설 히루루크 벚꽃) → A0O6,Uls3=100 Uls1=14 Uls2=1,스톡능력필드,✅ Flat(값 그대로),[미확인],[미확인],M히루루크 벚꽃 / 필드뜻[미확인],0,조사함-없음(더미채널),,해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),❌ 피해 아님(버프·디버프·배율·지속),0,해당없음(더미채널 — DUMMY_CHANNEL_GATES.csv 참고),해당없음,,✅ 태그 맞음(2026-09-06 재검증: base·atar·오더 4단계 대조)
h042,전설적인,시노부 쿠노이치 - 전설적인,트리거,Trig_Legend30,400000.00,Flat,✅ Flat,NORMAL,UNIVERSAL,,0,조사함-게이트밖,,1,1,1,해당없음(트리거 채널),,"GetRandomInt(1,7)==4",확정,h042,
h042,전설적인,시노부 쿠노이치 - 전설적인,트리거,Trig_Legend30,"(GetUnitStateSwap(UNIT_STATE_MAX_LIFE,GetTriggerUnit())*(0.01))",대상최대체력,✅ TargetMaxHpPercent,NORMAL,UNIVERSAL,,0,조사함-게이트밖,,1,1,1,해당없음(트리거 채널),,"GetRandomInt(1,7)==4 AND GetUnitPointValue(GetTriggerUnit())<200 ‖ GetRandomInt(1,7)==4 AND GetUnitPointValue(GetTriggerUnit())==200",추정(지점 여럿),h042,
h042,전설적인,시노부 쿠노이치 - 전설적인,트리거,Trig_Legend30,"((GetUnitStateSwap(UNIT_STATE_MAX_LIFE,GetTriggerUnit())*0.06)*(0.20+(0.05*I2R(GetUnitAbilityLevelSwapped('A11S',GetTriggerUnit())))))",대상최대체력+능력레벨,✅ TargetMaxHpPercent+계수(대상A11S(폭발형 피해 감수도) 축),MELEE,UNIVERSAL,,0,조사함-게이트밖,,1,1,1,해당없음(트리거 채널),,"GetRandomInt(1,7)==4 AND GetUnitPointValue(GetTriggerUnit())<200",확정,h042,
h042,전설적인,시노부 쿠노이치 - 전설적인,더미,Trig_Legend30 → e0HZ(!전설 시노부 더미4) → A0U5,Owk1=0.9,스톡능력필드,✅ Flat(값 그대로),[미확인],[미확인],더미 사운드-시노부 / 필드뜻[미확인],0,조사함-없음(더미채널),,해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),❌ 피해 아님(버프·디버프·배율·지속),0,해당없음(더미채널 — DUMMY_CHANNEL_GATES.csv 참고),해당없음,,✅ 태그 맞음(2026-09-06 재검증: base·atar·오더 4단계 대조)
h049,불멸의,실버즈 레일리 명왕 - 불멸의,더미,Trig_LaillySkill → e003(#불멸 레일리웨이브4) → A002,Ucs3=1100 Ucs1=300000 Ucs2=7e+07 Ucs4=487,스톡능력필드,✅ Flat(값 그대로),[미확인],[미확인],0장풍 레일리웨이브 / 필드뜻[미확인],0,조사함-없음(더미채널),,해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),⭕ 피해 있음 — ACca 시체 폭발선 — 대상당 피해,"300,000",해당없음(더미채널 — DUMMY_CHANNEL_GATES.csv 참고),해당없음,,
h04B,불멸의,금사자 시키 천신 - 불멸의,더미,Trig_Shiki_Attack → e026(#불멸 시키 더미) → A13U,Had1=-7,스톡능력필드,✅ Flat(값 그대로),[미확인],[미확인],B바닷물 방깎 / 필드뜻[미확인],0,조사함-없음(더미채널),,해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),❌ 피해 아님(버프·디버프·배율·지속),0,해당없음(더미채널 — DUMMY_CHANNEL_GATES.csv 참고),해당없음,,✅ 태그 맞음(2026-09-06 재검증: base·atar·오더 4단계 대조)
h04B,불멸의,금사자 시키 천신 - 불멸의,더미,Trig_Shiki_Attack → e026(#불멸 시키 더미) → A08O,Wrs1=400000 arlv=6,스톡능력필드,✅ Flat(값 그대로),[미확인],[미확인],2범위 시키불멸 스턴 / 필드뜻[미확인],0,조사함-없음(더미채널),,해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),⭕ 피해 있음 — AOws 전쟁의 함성 — 피해,"400,000",해당없음(더미채널 — DUMMY_CHANNEL_GATES.csv 참고),해당없음,,
h04C,불멸의,몽키.D.거프 해군영웅 주먹의 거프 - 불멸의,더미,Trig_Garp_Attack → e02M(#불멸 거프공속증가) → A08W,Blo1=0.45,스톡능력필드,✅ Flat(값 그대로),[미확인],[미확인],4지정 거프불멸 / 필드뜻[미확인],0,조사함-없음(더미채널),,해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),❌ 피해 아님(버프·디버프·배율·지속),0,해당없음(더미채널 — DUMMY_CHANNEL_GATES.csv 참고),해당없음,,✅ 태그 맞음(2026-09-06 재검증: base·atar·오더 4단계 대조)
h04D,불멸의,몽키.D.드래곤 혁명군의 수장 - 불멸의,더미,Trig_Dragon_Attack → e02L(#불멸 드래곤스턴2) → A08V,Wrs1=250000,스톡능력필드,✅ Flat(값 그대로),[미확인],[미확인],2범위 드래곤불멸스턴더미 / 필드뜻[미확인],0,조사함-없음(더미채널),,해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),⭕ 피해 있음 — AOws 전쟁의 함성 — 피해,"250,000",해당없음(더미채널 — DUMMY_CHANNEL_GATES.csv 참고),해당없음,,
h04E,불멸의,"센고쿠 해군원수 ""부처님"" - 불멸의",트리거,Trig_Sengoku_Attack,"(400000.00+(GetUnitStateSwap(UNIT_STATE_LIFE,GetEnumUnit())*0.02))",대상현재체력,✅ TargetCurrentHpPercent,NORMAL,UNIVERSAL,,0,조사함-게이트밖,,1,1,1,해당없음(트리거 채널),,"GetRandomInt(1,20)==8 AND 능력레벨('A0D8',GetAttacker())==2",확정,h04E,
h04E,불멸의,"센고쿠 해군원수 ""부처님"" - 불멸의",트리거,Trig_Sengoku_Attack,"(300000.00+(GetUnitStateSwap(UNIT_STATE_LIFE,GetEnumUnit())*(0.01*1.50)))",대상현재체력,✅ TargetCurrentHpPercent,NORMAL,UNIVERSAL,,0,조사함-게이트밖,,1,1,1,해당없음(트리거 채널),,"GetRandomInt(1,20)==8 AND NOT(능력레벨('A0D8',GetAttacker())==2)",확정,h04E,
h04E,불멸의,"센고쿠 해군원수 ""부처님"" - 불멸의",더미,Trig_Sengoku_Attack → e02B(#불멸 센고쿠 여래신장 더스트) → A0PL,Wrs1=427500,스톡능력필드,✅ Flat(값 그대로),[미확인],[미확인],2범위 센불 스턴1 / 필드뜻[미확인],0,조사함-없음(더미채널),,해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),⭕ 피해 있음 — AOws 전쟁의 함성 — 피해,"427,500",해당없음(더미채널 — DUMMY_CHANNEL_GATES.csv 참고),해당없음,,
h04F,불멸의,스코퍼 가반 로져 해적단의 검호 - 불멸의,더미,Trig_Gaban_Attack → e055(#불멸 가반 공증 더미) → A05G,Nbr1=750000,스톡능력필드,✅ Flat(값 그대로),[미확인],[미확인],!가반공격력증가1 / 필드뜻[미확인],0,조사함-없음(더미채널),,해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),⭕ 피해 있음 — ANbr — 피해,"750,000",해당없음(더미채널 — DUMMY_CHANNEL_GATES.csv 참고),해당없음,,
h04G,불멸의,"제트 해군 스승 ""Z"" - 불멸의",트리거,Trig_Z_Attack,"(GetUnitStateSwap(UNIT_STATE_MAX_LIFE,GetTriggerUnit())*(0.025))",대상최대체력,✅ TargetMaxHpPercent,NORMAL,UNIVERSAL,,0,조사함-게이트밖,,1,1,1,해당없음(트리거 채널),,"NOT(시전자마나==160.00) ‖ 버프보유(GetTriggerUnit(),'B06B')==true",추정(지점 여럿),h04G,
h04H,희귀함,쥬라클 미호크 칠무해 - 희귀함,트리거,Trig_Unique8,12500.00,Flat,✅ Flat,NORMAL,UNIVERSAL,,0,조사함-게이트밖,,1,2,1.5,해당없음(트리거 채널),,"GetRandomInt(1,10)==3",확정,h04H,
h04J,불멸의,골.D.로져 해적왕 - 불멸의,트리거,Trig_roger_Attack,800000.00,Flat,✅ Flat,HERO,NORMAL,,0,조사함-게이트밖,,1,1.5,1.25,해당없음(트리거 채널),,"GetRandomInt(1,1000)<86",확정,h04J,
h04J,불멸의,골.D.로져 해적왕 - 불멸의,트리거,Trig_roger_Attack,1000000.00,Flat,✅ Flat,HERO,NORMAL,,0,조사함-게이트밖,,1,1.5,1.25,해당없음(트리거 채널),,"GetRandomInt(1,1000)<86",확정,h04J,
