더미유닛ID,더미이름,능력,능력이름,피해필드,필드의미,값,범위(aare),부모트리거,기존표기재여부,소환조건(로컬),진입게이트,게이트확신도,진짜주인_유닛ID,진짜주인_이름,진짜주인_등급,주인확신도,이름표기_등급,표기_불일치
e0FT,E영원 핸콕 슬레이브 애로우3,A0OK,0장풍 슬레이브 애로우,Ucs1,시체폭발/죽음의사슬 피해,400000.0,220.0,Trig_arrow_h2_Actions,없음,[Trig_arrow_h2_Actions] NOT((s__TrigVariables_Stage[GlobalTV]==0)) AND NOT((s__TrigVariables_Stage[GlobalTV]>0 AND s__TrigVariables_Stage[GlobalTV]<4)),"Trig_Hancock_Attack_Actions[이벤트직결]: NOT(GetUnitStateSwap(UNIT_STATE_MANA,GetAttacker())==175.00) AND UnitHasBuffBJ(GetAttacker(),'B03M')==true",확정,h05C,|CFFFFFA78'아마존릴리의 여제'  보아 핸콕 - |,영원한,확정,영원한,
e0FU,E영원 핸콕 슬레이브 애로우1,A0OK,0장풍 슬레이브 애로우,Ucs1,시체폭발/죽음의사슬 피해,400000.0,220.0,Trig_arrow_h2_Actions,없음,[Trig_arrow_h2_Actions] (s__TrigVariables_Stage[GlobalTV]==0),"Trig_Hancock_Attack_Actions[이벤트직결]: NOT(GetUnitStateSwap(UNIT_STATE_MANA,GetAttacker())==175.00) AND UnitHasBuffBJ(GetAttacker(),'B03M')==true",확정,h05C,|CFFFFFA78'아마존릴리의 여제'  보아 핸콕 - |,영원한,확정,영원한,
e0FV,E영원 핸콕 슬레이브 애로우-머즐,A0OK,0장풍 슬레이브 애로우,Ucs1,시체폭발/죽음의사슬 피해,400000.0,220.0,Trig_arrow_h2_Actions,없음,[Trig_arrow_h2_Actions] (s__TrigVariables_Stage[GlobalTV]==0),"Trig_Hancock_Attack_Actions[이벤트직결]: NOT(GetUnitStateSwap(UNIT_STATE_MANA,GetAttacker())==175.00) AND UnitHasBuffBJ(GetAttacker(),'B03M')==true",확정,h05C,|CFFFFFA78'아마존릴리의 여제'  보아 핸콕 - |,영원한,확정,영원한,
e0GH,#불멸 Z 차지 블래스터 시작,A0S6,0장풍 제트 차지블래스터,Ucs1,시체폭발/죽음의사슬 피해,1000000.0,180.0,Trig_Z_skill_3_Actions,없음,"[Trig_Z_skill_3_Actions] (s__TrigVariables_Stage[GlobalTV]>=2 AND s__TrigVariables_Stage[GlobalTV]<6) AND (ModuloInteger(s__TrigVariables_Stage[GlobalTV],2)==0)","Trig_Z_Attack_Actions[이벤트직결]: GetRandomInt(1,16)==7",확정,h04G,"제트 해군 스승 ""Z"" - 불멸의",불멸의,확정,불멸의,
e0GK,#불멸 Z 차지 블래스터 시작,A0S6,0장풍 제트 차지블래스터,Ucs1,시체폭발/죽음의사슬 피해,1000000.0,180.0,Trig_Z_skill_3_Actions,없음,[Trig_Z_skill_3_Actions] (s__TrigVariables_Stage[GlobalTV]==1),"Trig_Z_Attack_Actions[이벤트직결]: GetRandomInt(1,16)==7",확정,h04G,"제트 해군 스승 ""Z"" - 불멸의",불멸의,확정,불멸의,
e0GN,@초월 로우 라디오3,A0OG,3범위 로우초월 카운터1,Htc1,천둥소리 피해,350000.0,485.0,Trig_Law_skill_5_Actions,없음,[Trig_Law_skill_5_Actions] (s__TrigVariables_Stage[GlobalTV]>0 AND s__TrigVariables_Stage[GlobalTV]<3),"Trig_Law_Attack_Actions[이벤트직결]: GetRandomInt(1,20)==6",확정,H096,트라팔가 로우- 초월함,초월함,확정,초월함,
e0GO,@초월 로우 라디오2,A0OG,3범위 로우초월 카운터1,Htc1,천둥소리 피해,350000.0,485.0,Trig_Law_skill_5_Actions,없음,[Trig_Law_skill_5_Actions] (s__TrigVariables_Stage[GlobalTV]>2 AND s__TrigVariables_Stage[GlobalTV]<5),"Trig_Law_Attack_Actions[이벤트직결]: GetRandomInt(1,20)==6",확정,H096,트라팔가 로우- 초월함,초월함,확정,초월함,
e0GP,@초월 로우 라디오1,A0OG,3범위 로우초월 카운터1,Htc1,천둥소리 피해,350000.0,485.0,Trig_Law_skill_5_Actions,없음,[Trig_Law_skill_5_Actions] (s__TrigVariables_Stage[GlobalTV]==6),"Trig_Law_Attack_Actions[이벤트직결]: GetRandomInt(1,20)==6",확정,H096,트라팔가 로우- 초월함,초월함,확정,초월함,
e0HF,@초월 아오키지 아이스 파르티잔,A0BU,3범위 파르티잔 액티브,Htc1,천둥소리 피해,325000.0,450.0,Trig_Aokigi_skill_4_Actions,없음,[Trig_Aokigi_skill_4_Actions] (조건없음),"Trig_Aokigi_Attack_Actions[이벤트직결]: GetRandomInt(1,14)==9",확정,H097 / H0B1,쿠잔 - 초월함 / 쿠잔초월함,초월함,확정,초월함,
e0IN,%제한됨변화 도플 둔화1,A078,3범위 도변 둔화,Htc1,천둥소리 피해,100000.0,375.0,Trig_DP_Skill_2_Actions / Trig_Transpom_dp_Actions,없음,[Trig_DP_Skill_2_Actions] (s__TrigVariables_Stage[GlobalTV]==0) | [Trig_Transpom_dp_Actions] (s__TrigVariables_Stage[GlobalTV]==0),"Trig_DP_Attack_Actions[이벤트직결]: GetRandomInt(1,10)==6 | Trig_DP_Attack_gaksung_Actions[이벤트직결]: GetRandomInt(1,9)==6 | Trig_Transpom2_Actions[이벤트직결]: GetRandomInt(1,10)==6",확정,H09D / H09E / h05S,각성 도플라밍고 - 초월함 / 도플라밍고 - 초월함 / 돈키호테 도플라밍고 하늘귀신 - 변화된,변화된 / 초월함,확정,제한됨,🔴 이름표기≠실제
e0IW,@초월 도플 새장,A0AM,3범위 도플각성흉탄,Htc1,천둥소리 피해,150000.0,525.0,Trig_DP_Attack_gaksung_Actions,없음,"[Trig_DP_Attack_gaksung_Actions] GetRandomInt(1,5)==2",Trig_DP_Attack_gaksung_Actions[이벤트직결]: (조건없음),"추정(진입 무조건 — 이벤트 직결, 로컬 조건만)",H09D,각성 도플라밍고 - 초월함,초월함,확정,초월함,
e0IZ,@초월 나미 웨더리아5-리메이크,A0AZ,2범위 나미초월 블리자드4,Hbz2,블리자드 파동당 피해,500000.0,500.0,Trig_Nami_Skill_4_Actions,없음,[Trig_Nami_Skill_4_Actions] s__TrigVariables_Stage[GlobalTV]==0 | [Trig_Nami_Skill_4_Actions] s__TrigVariables_Stage[GlobalTV]==1,"Trig_Nami_Attack_Actions[이벤트직결]: UnitHasBuffBJ(GetAttacker(),'B012')==false",확정,H08V,나미 - 초월함,초월함,확정,초월함,
e0KH,@초월 징베 더미1,A0WZ,3범위 징베 해류,Htc1,천둥소리 피해,500000.0,625.0,Trig_Jimbe_Actions,없음,[Trig_Jimbe_Actions] NOT((s__TrigVariables_Stage[GlobalTV]==0)) AND (s__TrigVariables_Stage[GlobalTV]==1),"Trig_jinbe_Attack_Actions[이벤트직결]: GetRandomInt(1,16)==2 | Trig_jinbe_Attack_Actions[이벤트직결]: GetRandomInt(1,7)==2 | Trig_jinbe_Attack_Actions[이벤트직결]: GetUnitStateSwap(UNIT_STATE_MANA,GetAttacker())==115.00",확정,H09A,징베  - 초월함,초월함,확정,초월함,
e0ML,@초월 아오키지 아이스볼3,A0BR,0장풍 아오초 아이스볼,Ucs1,시체폭발/죽음의사슬 피해,500000.0,250.0,Trig_Aokigi_skill_2_Actions,없음,[Trig_Aokigi_skill_2_Actions] (s__TrigVariables_Stage[GlobalTV]>0 AND s__TrigVariables_Stage[GlobalTV]<6),"Trig_Aokigi_Attack_Actions[이벤트직결]: GetRandomInt(1,25)==10",확정,H097 / H0B1,쿠잔 - 초월함 / 쿠잔초월함,초월함,확정,초월함,
e0MT,!이치고 월아1,A093,0장풍 검은 월아천충,Ucs1,시체폭발/죽음의사슬 피해,450000.0,250.0,Trig_ichigo2_Actions,없음,[Trig_ichigo2_Actions] (s__TrigVariables_Stage[GlobalTV]==0) | [Trig_ichigo2_Actions] (s__TrigVariables_Stage[GlobalTV]==1),"Trig_ichigo1_Actions[이벤트직결]: GetRandomInt(1,22)==3",확정,h071,쿠로사키 이치고 - 랜덤전용,랜덤전용,확정,,
e0MW,@초월 키드 더미3,A10Z,0장풍 키드초월 리펠1,Ucs1,시체폭발/죽음의사슬 피해,300000.0,225.0,Trig_Kid_Skill_3_Actions / Trig_Kid_Skill_3_item_Actions,없음,[Trig_Kid_Skill_3_Actions] (s__TrigVariables_Stage[GlobalTV]==0) | [Trig_Kid_Skill_3_item_Actions] (s__TrigVariables_Stage[GlobalTV]==1),"Trig_Kid_Attack_Actions[이벤트직결]: GetRandomInt(1,10)==2 AND NOT(UnitHasItem(GetAttacker(),udg_item_kid_mot[GetConvertedPlayerId(GetOwningPlayer(GetAttacker()))])==true) | Trig_Kid_Attack_Actions[이벤트직결]: GetRandomInt(1,10)==2 AND UnitHasItem(GetAttacker(),udg_item_kid_mot[GetConvertedPlayerId(GetOwningPlayer(GetAttacker()))])==true",확정,H0B4,키드 - 초월함,초월함,확정,초월함,
e0MY,@초월 키드 더미2,A17P,0장풍 키드초월 댐드펑크,Ucs1,시체폭발/죽음의사슬 피해,600000.0,225.0,Trig_Kid_Skill_3_Actions / Trig_Kid_Skill_3_item_Actions,없음,[Trig_Kid_Skill_3_Actions] (s__TrigVariables_Stage[GlobalTV]==0) | [Trig_Kid_Skill_3_item_Actions] (s__TrigVariables_Stage[GlobalTV]==1),"Trig_Kid_Attack_Actions[이벤트직결]: GetRandomInt(1,10)==2 AND NOT(UnitHasItem(GetAttacker(),udg_item_kid_mot[GetConvertedPlayerId(GetOwningPlayer(GetAttacker()))])==true) | Trig_Kid_Attack_Actions[이벤트직결]: GetRandomInt(1,10)==2 AND UnitHasItem(GetAttacker(),udg_item_kid_mot[GetConvertedPlayerId(GetOwningPlayer(GetAttacker()))])==true",확정,H0B4,키드 - 초월함,초월함,확정,초월함,
e0NM,@초월 키드 더미01,A10Z,0장풍 키드초월 리펠1,Ucs1,시체폭발/죽음의사슬 피해,300000.0,225.0,Trig_Kid_Skill_3_Actions / Trig_Kid_Skill_3_item_Actions,없음,[Trig_Kid_Skill_3_Actions] (s__TrigVariables_Stage[GlobalTV]==0) | [Trig_Kid_Skill_3_Actions] (s__TrigVariables_Stage[GlobalTV]==1) | [Trig_Kid_Skill_3_Actions] (s__TrigVariables_Stage[GlobalTV]==2) | [Trig_Kid_Skill_3_item_Actions] (s__TrigVariables_Stage[GlobalTV]==1) | [Trig_Kid_Skill_3_item_Actions] (s__TrigVariables_Stage[GlobalTV]==2) | [Trig_Kid_Skill_3_item_Actions] (s__TrigVariables_Stage[GlobalTV]==2) AND (s__TrigVariables__get_integerA(GlobalTV)==2),"Trig_Kid_Attack_Actions[이벤트직결]: GetRandomInt(1,10)==2 AND NOT(UnitHasItem(GetAttacker(),udg_item_kid_mot[GetConvertedPlayerId(GetOwningPlayer(GetAttacker()))])==true) | Trig_Kid_Attack_Actions[이벤트직결]: GetRandomInt(1,10)==2 AND UnitHasItem(GetAttacker(),udg_item_kid_mot[GetConvertedPlayerId(GetOwningPlayer(GetAttacker()))])==true",확정,H0B4,키드 - 초월함,초월함,확정,초월함,
e0NQ,@초월 로우 카운터 더미,A0OG,3범위 로우초월 카운터1,Htc1,천둥소리 피해,350000.0,485.0,Trig_Kid_Skill_3_item_Actions / Trig_Law_Skill_2_reinforce_Actions,없음,[Trig_Kid_Skill_3_item_Actions] (s__TrigVariables_Stage[GlobalTV]==2) AND NOT((s__TrigVariables__get_integerA(GlobalTV)==2)) | [Trig_Law_Skill_2_reinforce_Actions] (조건없음),"Trig_Kid_Attack_Actions[이벤트직결]: GetRandomInt(1,10)==2 AND UnitHasItem(GetAttacker(),udg_item_kid_mot[GetConvertedPlayerId(GetOwningPlayer(GetAttacker()))])==true | Trig_Law_Attack_Actions[이벤트직결]: GetRandomInt(1,8)==6 AND udg_Law_Bool[GetConvertedPlayerId(GetOwningPlayer(GetAttacker()))]==true",확정,H096 / H0B4,트라팔가 로우- 초월함 / 키드 - 초월함,초월함,확정,초월함,
e0OG,H히든 미호크 더미1,A0B5,0장풍 미호크 히든,Ucs1,시체폭발/죽음의사슬 피해,200000.0,260.0,Trig_Hidden20_Actions,없음,"[Trig_Hidden20_Actions] GetRandomInt(1,8)==3",Trig_Hidden20_Actions[이벤트직결]: (조건없음),"추정(진입 무조건 — 이벤트 직결, 로컬 조건만)",h043,[히든조합]쥬라클 미호크매의 눈,히든,확정,히든,
e0PH,@초월 검은수염지진2,A0Q6,3범위 검수초 지진-강진,Htc1,천둥소리 피해,400000.0,700.0,Trig_Tichi_skill_4_Actions / Trig_Tichi_skill_4_tr_Actions,없음,[Trig_Tichi_skill_4_Actions] (조건없음) | [Trig_Tichi_skill_4_tr_Actions] (s__TrigVariables_Stage[GlobalTV]==0),"Trig_Tichi_Attack_Actions[이벤트직결]: GetRandomInt(1,10)==5 AND GetRandomInt(1,udg_Tichi_TR_AddInt[GetConvertedPlayerId(GetOwningPlayer(GetAttacker()))])==3 | Trig_Tichi_Attack_Actions[이벤트직결]: GetRandomInt(1,10)==5 AND NOT(GetRandomInt(1,udg_Tichi_TR_AddInt[GetConvertedPlayerId(GetOwningPlayer(GetAttacker()))])==3)",확정,H090,마샬.D.티치 - 초월함,초월함,확정,초월함,
e0PL,@초월 검은수염 장풍 더미,A0A4,0장풍 계열 검수초월,Ucs1,시체폭발/죽음의사슬 피해,300000.0,160.0,Trig_Tichi_skill_2_tr_Actions,없음,[Trig_Tichi_skill_2_tr_Actions] (s__TrigVariables_Stage[GlobalTV]==0),"Trig_Tichi_Attack_Actions[이벤트직결]: GetRandomInt(1,25)==12",확정,H090,마샬.D.티치 - 초월함,초월함,확정,초월함,
e0PP,E영원 미호크 먼지 더미4,A0B6,0장풍 미호크 영원1,Ucs1,시체폭발/죽음의사슬 피해,750000.0,333.0,Trig_Mihawk_4_Actions,없음,[Trig_Mihawk_4_Actions] (s__TrigVariables_Stage[GlobalTV]==5),"Trig_Mihawk_Attack_Actions[이벤트직결]: GetRandomInt(1,7)==1",확정,h058,|CFFFFFA78세계 최강의 대검호 쥬라클 미호크 - |,영원한,확정,영원한,
e0PQ,E영원 미호크 먼지 더미2,A0B6,0장풍 미호크 영원1,Ucs1,시체폭발/죽음의사슬 피해,750000.0,333.0,Trig_Mihawk_4_Actions,없음,[Trig_Mihawk_4_Actions] (s__TrigVariables_Stage[GlobalTV]>0 AND s__TrigVariables_Stage[GlobalTV]<5) | [Trig_Mihawk_4_Actions] (s__TrigVariables_Stage[GlobalTV]>0 AND s__TrigVariables_Stage[GlobalTV]<5) AND (s__TrigVariables_Stage[GlobalTV]==3),"Trig_Mihawk_Attack_Actions[이벤트직결]: GetRandomInt(1,7)==1",확정,h058,|CFFFFFA78세계 최강의 대검호 쥬라클 미호크 - |,영원한,확정,영원한,
e0PR,E영원 미호크 먼지 더미3,A0B6,0장풍 미호크 영원1,Ucs1,시체폭발/죽음의사슬 피해,750000.0,333.0,Trig_Mihawk_4_Actions,없음,[Trig_Mihawk_4_Actions] (s__TrigVariables_Stage[GlobalTV]==5),"Trig_Mihawk_Attack_Actions[이벤트직결]: GetRandomInt(1,7)==1",확정,h058,|CFFFFFA78세계 최강의 대검호 쥬라클 미호크 - |,영원한,확정,영원한,
e0QL,@초월 로쿠규 나무1,A0PI,3범위 도플초월 오색실1,Htc1,천둥소리 피해,205000.0,525.0,Trig_RokuguTree_Attack_Actions / Trig_Rokugu_Attack_Actions,없음,"[Trig_RokuguTree_Attack_Actions] GetRandomInt(1,12)==2 | [Trig_Rokugu_Attack_Actions] GetRandomInt(1,25)==2",Trig_RokuguTree_Attack_Actions[이벤트직결]: (조건없음) | Trig_Rokugu_Attack_Actions[이벤트직결]: (조건없음),"추정(진입 무조건 — 이벤트 직결, 로컬 조건만)",H0BL / H0BO,아라마키- 초월함 / 아라마키- 초월함,초월함,확정,초월함,
e0QN,@초월 로쿠규 거대나무1,A160,3범위 료쿠규 초월 둔화,Htc1,천둥소리 피해,200000.0,500.0,Trig_Rokugu_skill_1_Actions,없음,[Trig_Rokugu_skill_1_Actions] s__TrigVariables_Stage[GlobalTV]==0,"Trig_RokuguTree_Attack_Actions[이벤트직결]: GetRandomInt(1,7)==2 | Trig_Rokugu_Attack_Actions[이벤트직결]: GetRandomInt(1,7)==2",확정,H0BL / H0BO,아라마키- 초월함 / 아라마키- 초월함,초월함,확정,초월함,
e0QQ,마나 115 필요,A16S,!초록소 공증,Nbr1,화염숨결 피해,4000.0,1.0,Trig_Rokugu_Attack_Actions,없음,"[Trig_Rokugu_Attack_Actions] GetUnitStateSwap(UNIT_STATE_MANA,GetAttacker())>=115.00",Trig_Rokugu_Attack_Actions[이벤트직결]: (조건없음),"추정(진입 무조건 — 이벤트 직결, 로컬 조건만)",H0BL,아라마키- 초월함,초월함,확정,,
e0RR,@초월 로우룸-베기,A09H,!4범위 로우 룸,Nbr1,화염숨결 피해,30000.0,1.0,Trig_Law_Attack_Actions,없음,"[Trig_Law_Attack_Actions] UnitHasBuffBJ(GetAttacker(),'B03Z')==true AND GetUnitStateSwap(UNIT_STATE_LIFE,GetAttacker())>=250.00",Trig_Law_Attack_Actions[이벤트직결]: (조건없음),"추정(진입 무조건 — 이벤트 직결, 로컬 조건만)",H096,트라팔가 로우- 초월함,초월함,확정,초월함,
h05J,실버즈 레일리 명왕 - 불멸의소환됨,A149,!명왕의 검술,Hbh3,배시 추가피해,102500.0,,Trig_LaillySkill_Actions,없음,"[Trig_LaillySkill_Actions] GetRandomInt(1,17)==4",Trig_LaillySkill_Actions[이벤트직결]: (조건없음),"추정(진입 무조건 — 이벤트 직결, 로컬 조건만)",h049,실버즈 레일리 명왕 - 불멸의,불멸의,확정,,
h0BH,부유물2불멸의,A13R,!부유물-돌2,Hbh3,배시 추가피해,30000.0,,Trig_Shiki_Attack_Actions,없음,"[Trig_Shiki_Attack_Actions] GetRandomInt(1,16)==3",Trig_Shiki_Attack_Actions[이벤트직결]: (조건없음),"추정(진입 무조건 — 이벤트 직결, 로컬 조건만)",h04B,금사자 시키 천신 - 불멸의,불멸의,확정,,
h0BH,부유물2불멸의,A13P,!부유물-돌31,Hbh3,배시 추가피해,30000.0,,Trig_Shiki_Attack_Actions,없음,"[Trig_Shiki_Attack_Actions] GetRandomInt(1,16)==3",Trig_Shiki_Attack_Actions[이벤트직결]: (조건없음),"추정(진입 무조건 — 이벤트 직결, 로컬 조건만)",h04B,금사자 시키 천신 - 불멸의,불멸의,확정,,
