유닛ID,유닛이름,스킬트리거,함수,호출,RRD순번,계산식앞,공격타입,피해타입,방어무시,주의
h033,빈스모크 레이쥬 포이즌 핑크 - 전설적인,Legend19_1,Trig_Legend19_1_Actions,RRD,1,"((GetUnitStateSwap(UNIT_STATE_LIFE,s__TrigVariables__get_uni",PIERCE,UNIVERSAL,O,
h033,빈스모크 레이쥬 포이즌 핑크 - 전설적인,Legend19_1,Trig_Legend19_1_Actions,RRD,2,"((GetUnitStateSwap(UNIT_STATE_LIFE,s__TrigVariables__get_uni",PIERCE,UNIVERSAL,O,
h033,빈스모크 레이쥬 포이즌 핑크 - 전설적인,Legend19_1,Trig_Legend19_1_Actions,RRD,3,"((GetUnitStateSwap(UNIT_STATE_LIFE,s__TrigVariables__get_uni",PIERCE,UNIVERSAL,O,
h03H,샬롯 크래커 빅맘 3장성 - 전설적인,Legend20,Trig_Legend20_Func008A,RRD,1,250000.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h03H,샬롯 크래커 빅맘 3장성 - 전설적인,Legend20,Trig_Legend20_Actions,RRD,2,20000.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h02R,로브 루치 생명귀환 지회무신 - 전설적인,Legend21sc,Trig_Legend21sc_Func004,RRD,1,100000.00,MAGIC,UNIVERSAL,O,
h02R,로브 루치 생명귀환 지회무신 - 전설적인,Legend21sc,Trig_Legend21sc_Actions,RRD,2,"((GetUnitStateSwap(UNIT_STATE_LIFE,GetTriggerUnit())*0.3)*(0",SIEGE,UNIVERSAL,O,
h02R,로브 루치 생명귀환 지회무신 - 전설적인,Legend21sc,Trig_Legend21sc_Actions,RRD,3,345000.00,CHAOS,UNIVERSAL,O,
h02Y,몽키.D.루피 나이트메어 - 전설적인,Legend22,Trig_Legend22_Func016Func004A,RRD,1,s__TrigVariables__get_realC(GlobalTV),NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h02Y,몽키.D.루피 나이트메어 - 전설적인,Legend22,Trig_Legend22_Func021A,RRD,2,s__TrigVariables__get_realC(GlobalTV),NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h02Y,몽키.D.루피 나이트메어 - 전설적인,Legend22,Trig_Legend22_Func024Func005A,RRD,3,s__TrigVariables__get_realC(GlobalTV),NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h02Y,몽키.D.루피 나이트메어 - 전설적인,Legend22,Trig_Legend22_Actions,RRD,4,500000.00,CHAOS,UNIVERSAL,O,
h02Y,몽키.D.루피 나이트메어 - 전설적인,Legend22,Trig_Legend22_Actions,RRD,5,3000000.00,CHAOS,UNIVERSAL,O,
h02Y,몽키.D.루피 나이트메어 - 전설적인,Legend22,Trig_Legend22_Actions,RRD,6,400000.00,CHAOS,UNIVERSAL,O,
h03I,제파 전 해군 대장 '흑완' - 전설적인,Legend23,Trig_Legend23_Actions,RRD,1,"(GetUnitStateSwap(UNIT_STATE_LIFE,GetTriggerUnit())*(0.01))",NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h03I,제파 전 해군 대장 '흑완' - 전설적인,Legend23,Trig_Legend23_Actions,RRD,2,"(GetUnitStateSwap(UNIT_STATE_MAX_LIFE,GetTriggerUnit())*(0.0",NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h02P,나미 도둑 고양이 - 전설적인,Legend25,Trig_Legend25_Func007A,RRD,1,325000.00,MAGIC,UNIVERSAL,O,
h02U,"마샬.D.티치 검은수염 해적단 선장 ""검은수",Legend26,Trig_Legend26_Func008A,RRD,1,"(500000.00+(GetUnitStateSwap(UNIT_STATE_LIFE,GetEnumUnit())*",NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h02U,"마샬.D.티치 검은수염 해적단 선장 ""검은수",Legend26_tichi_crows,Trig_Legend26_tichi_crows_Actions,RRD,1,4000000.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h02U,"마샬.D.티치 검은수염 해적단 선장 ""검은수",Legend26_tichi_crows,Trig_Legend26_tichi_crows_Actions,RRD,2,300000.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h02U,"마샬.D.티치 검은수염 해적단 선장 ""검은수",Legend26_tichi_crows,Trig_Legend26_tichi_crows_Actions,RRD,3,300000.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h03E,코비 세계의 운명을 바꾼 해군루키 - 전설적,Legend28koby,Trig_Legend28koby_Actions,RRD,1,"((GetUnitStateSwap(UNIT_STATE_LIFE,GetTriggerUnit())*0.27)*(",MELEE,UNIVERSAL,O,⚠MELEE=원작 Normal행
h03E,코비 세계의 운명을 바꾼 해군루키 - 전설적,Legend28koby,Trig_Legend28koby_Actions,RRD,2,100000.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h03K,Dr.히루루크 나라를 치료한 의사 - 전설적,Legend29,Trig_Legend29_Func002Func001Func006A,RRD,1,"(GetUnitStateSwap(UNIT_STATE_MAX_LIFE,GetEnumUnit())*0.50)",HERO,UNIVERSAL,O,
h042,시노부 쿠노이치 - 전설적인,Legend30,Trig_Legend30_Actions,RRD,1,400000.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h042,시노부 쿠노이치 - 전설적인,Legend30,Trig_Legend30_Actions,RRD,2,"(GetUnitStateSwap(UNIT_STATE_MAX_LIFE,GetTriggerUnit())*(0.0",NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h042,시노부 쿠노이치 - 전설적인,Legend30,Trig_Legend30_Actions,RRD,3,"((GetUnitStateSwap(UNIT_STATE_MAX_LIFE,GetTriggerUnit())*0.0",MELEE,UNIVERSAL,O,⚠MELEE=원작 Normal행
h085,시노부 쿠노이치 - 전설적인-소환됨,Legend30mirror,Trig_Legend30mirror_Actions,RRD,1,200000.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h085,시노부 쿠노이치 - 전설적인-소환됨,Legend30mirror,Trig_Legend30mirror_Actions,RRD,2,"(GetUnitStateSwap(UNIT_STATE_MAX_LIFE,GetTriggerUnit())*(0.0",NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h085,시노부 쿠노이치 - 전설적인-소환됨,Legend30mirror,Trig_Legend30mirror_Actions,RRD,3,"((GetUnitStateSwap(UNIT_STATE_MAX_LIFE,GetTriggerUnit())*0.0",MELEE,UNIVERSAL,O,⚠MELEE=원작 Normal행
h087,아마츠키 토키 시간 여행자 - 전설적인,Legend31_toki,Trig_Legend31_toki_Func033A,RRD,1,125000.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h087,아마츠키 토키 시간 여행자 - 전설적인,Legend31_toki,Trig_Legend31_toki_Func037A,RRD,2,125000.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h087,아마츠키 토키 시간 여행자 - 전설적인,Legend31_toki,Trig_Legend31_toki_Actions,RRD,3,250000.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h09Z,네코마무시 밤의 왕 - 전설적인,Legend32,Trig_Legend32_Func007A,RRD,1,"(222500.00+(GetUnitStateSwap(UNIT_STATE_MAX_LIFE,GetEnumUnit",CHAOS,UNIVERSAL,O,
h09Z,네코마무시 밤의 왕 - 전설적인,Legend32,Trig_Legend32_Actions,RRD,2,20000.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h09Z,네코마무시 밤의 왕 - 전설적인,Legend32,Trig_Legend32_Actions,RRD,3,"(GetUnitStateSwap(UNIT_STATE_MAX_LIFE,GetTriggerUnit())*(0.0",CHAOS,UNIVERSAL,O,
h09Z,네코마무시 밤의 왕 - 전설적인,Legend32_neko1,Trig_Legend32_neko1_Func046A,RRD,1,"(500000.00+(GetUnitStateSwap(UNIT_STATE_MAX_LIFE,GetEnumUnit",CHAOS,UNIVERSAL,O,
h09Z,네코마무시 밤의 왕 - 전설적인,Legend32_neko1,Trig_Legend32_neko1_Actions,RRD,2,"(2000000.00+(GetUnitStateSwap(UNIT_STATE_MAX_LIFE,s__TrigVar",CHAOS,UNIVERSAL,O,
h02N,겟코 모리아 쉐도우 아스가르드 - 전설적인,Legend34Moria_Skill,Trig_Legend34Moria_Skill_Func034A,RRD,1,250000.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h02N,겟코 모리아 쉐도우 아스가르드 - 전설적인,Legend34Moria_Skill,Trig_Legend34Moria_Skill_Actions,RRD,2,800000.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h03S,울티 토비롯포 - 전설적인,Legend35ulti_trg3,Trig_Legend35ulti_trg3_Func017A,RRD,1,(((GetEventDamage()*1.70)+230000.00)*(0.01*I2R(GetUnitPointV,CHAOS,UNIVERSAL,O,
h03S,울티 토비롯포 - 전설적인,Legend35ulti_trg,Trig_Legend35ulti_trg_Func019A,RRD,1,((GetEventDamage()*0.85)+115000.00),CHAOS,NORMAL,X,
h05W,비비 알라바스타의 왕녀 - 변화된,Transpom1,Trig_Transpom1_Func007A,RRD,1,100000.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h05W,비비 알라바스타의 왕녀 - 변화된,Transpom1,Trig_Transpom1_Func007A,RRD,2,180000.00,MELEE,NORMAL,X,⚠MELEE=원작 Normal행
h05W,비비 알라바스타의 왕녀 - 변화된,Transpom1,Trig_Transpom1_Actions,RRD,3,250000.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h05S,돈키호테 도플라밍고 하늘귀신 - 변화된,Transpom2,Trig_Transpom2_Func011A,RRD,1,100000.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h05S,돈키호테 도플라밍고 하늘귀신 - 변화된,Transpom_dp,Trig_Transpom_dp_Actions,RRD,1,200000.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h05S,돈키호테 도플라밍고 하늘귀신 - 변화된,Transpom_dp,Trig_Transpom_dp_Actions,RRD,2,"((GetUnitStateSwap(UNIT_STATE_LIFE,s__TrigVariables__get_uni",PIERCE,UNIVERSAL,O,
h05V,포트거스.D.에이스 스페이드 해적단 선장 -,Transpom_AceMana,Trig_Transpom_AceMana_Func018A,RRD,1,1850000.00,MAGIC,UNIVERSAL,O,
h05V,포트거스.D.에이스 스페이드 해적단 선장 -,Transpom_Ace_bulRemake,Trig_Transpom_Ace_bulRemake_Func029A,RRD,1,350000.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h07N,베이비 5 초토화 모드 - 변화된,Transpom6,Trig_Transpom6_Func006A,RRD,1,145000.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h07N,베이비 5 초토화 모드 - 변화된,Transpom6,Trig_Transpom6_Actions,RRD,2,101500.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h07N,베이비 5 초토화 모드 - 변화된,Transpom6,Trig_Transpom6_Actions,RRD,3,"((GetUnitStateSwap(UNIT_STATE_LIFE,GetTriggerUnit())*0.01)+0",NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h07N,베이비 5 초토화 모드 - 변화된,Transpom6,Trig_Transpom6_Actions,RRD,4,"(GetUnitStateSwap(UNIT_STATE_MAX_LIFE,GetTriggerUnit())*(0.0",NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h05F,크로커다일 사막의 악어 - 제한됨,croTrans,Trig_croTrans_Actions,RRD,1,800000.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h05F,크로커다일 사막의 악어 - 제한됨,cro_skill_2,Trig_cro_skill_2_Func015A,RRD,1,1000000.00,CHAOS,NORMAL,X,
h05E,에넬 G.O.D - 제한됨,Enel_Mana,Trig_Enel_Mana_Func004Func009A,UnitDamageTargetBJ,1,"(0.02*GetUnitStateSwap(UNIT_STATE_MAX_LIFE,s__TrigVariables_",NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h05E,에넬 G.O.D - 제한됨,Enel_skill_2,Trig_Enel_skill_2_Func018A,RRD,1,"(182500.00+(I2R(GetPlayerTechCountSimple('R01L',GetOwningPla",NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
,,enel_thunder1,Trig_enel_thunder1_Func001Func002Func005A,RRD,1,425000.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
,,enel_thunder1,Trig_enel_thunder1_Func001Func002Func010Func005A,RRD,2,425000.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
,,enel_thunder1,Trig_enel_thunder1_Actions,RRD,3,8500000.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
,,enel_thunder1,Trig_enel_thunder1_Actions,RRD,4,4250000.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
,,enel_thunder2,Trig_enel_thunder2_Func001Func002Func005A,RRD,1,425000.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
,,enel_thunder2,Trig_enel_thunder2_Func001Func002Func010Func005A,RRD,2,425000.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
,,enel_thunder2,Trig_enel_thunder2_Actions,RRD,3,8500000.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
,,enel_thunder2,Trig_enel_thunder2_Actions,RRD,4,4250000.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
,,enel_thunder3,Trig_enel_thunder3_Func001Func002Func005A,RRD,1,425000.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
,,enel_thunder3,Trig_enel_thunder3_Func001Func002Func010Func005A,RRD,2,425000.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
,,enel_thunder3,Trig_enel_thunder3_Actions,RRD,3,8500000.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
,,enel_thunder3,Trig_enel_thunder3_Actions,RRD,4,4250000.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
,,enel_thunder4,Trig_enel_thunder4_Func001Func002Func005A,RRD,1,425000.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
,,enel_thunder4,Trig_enel_thunder4_Func001Func002Func010Func005A,RRD,2,425000.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
,,enel_thunder4,Trig_enel_thunder4_Actions,RRD,3,8500000.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
,,enel_thunder4,Trig_enel_thunder4_Actions,RRD,4,4250000.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h05I,레베카 콜로세움 전설의  후예 - 제한됨,Rebeca_Skill_1,Trig_Rebeca_Skill_1_Func009A,RRD,1,"(600000.00+(25000.00*I2R(GetUnitAbilityLevelSwapped('A0QW',u",MELEE,NORMAL,X,⚠MELEE=원작 Normal행
h05I,레베카 콜로세움 전설의  후예 - 제한됨,Rebeca_Skill_1,Trig_Rebeca_Skill_1_Actions,RRD,2,"(2100000.00+(87500.00*I2R(GetUnitAbilityLevelSwapped('A0QW',",NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h05I,레베카 콜로세움 전설의  후예 - 제한됨,Rebeca_Skill_3,Trig_Rebeca_Skill_3_Func018A,RRD,1,"(800000.00+(30000.00*I2R(GetUnitAbilityLevelSwapped('A0QW',s",MELEE,NORMAL,X,⚠MELEE=원작 Normal행
h05G,패트릭 레드필드 붉은백작 - 제한됨,RedAttack,Trig_RedAttack_Actions,RRD,1,"((GetUnitStateSwap(UNIT_STATE_MAX_LIFE,GetTriggerUnit())*(0.",CHAOS,UNIVERSAL,O,
h05G,패트릭 레드필드 붉은백작 - 제한됨,RedAttack,Trig_RedAttack_Actions,RRD,2,162500.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h05G,패트릭 레드필드 붉은백작 - 제한됨,Red_skill_1,Trig_Red_skill_1_Func006A,RRD,1,"(GetUnitStateSwap(UNIT_STATE_MAX_LIFE,GetEnumUnit())*(0.01*0",NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h05G,패트릭 레드필드 붉은백작 - 제한됨,Red_skill_1,Trig_Red_skill_1_Func006A,RRD,2,700000.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h07I,샬롯 카타쿠리 장성 밀가루 대신 - 제한됨,katakuri_Skill_2,Trig_katakuri_Skill_2_Func019A,RRD,1,375000.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h07I,샬롯 카타쿠리 장성 밀가루 대신 - 제한됨,Kata_03,Trig_Kata_03_Func020A,RRD,1,((GetEventDamage()*0.75)+100000.00),CHAOS,NORMAL,X,
,,kata_04_pegi1,Trig_kata_04_pegi1_Func004Func010A,RRD,1,500000.00,MAGIC,UNIVERSAL,O,
,,kata_04_pegi1,Trig_kata_04_pegi1_Actions,RRD,2,4500000.00,MAGIC,UNIVERSAL,O,
,,kata_04_pegi2,Trig_kata_04_pegi2_Func004Func010A,RRD,1,500000.00,MAGIC,UNIVERSAL,O,
,,kata_04_pegi2,Trig_kata_04_pegi2_Actions,RRD,2,4500000.00,MAGIC,UNIVERSAL,O,
,,kata_04_pegi3,Trig_kata_04_pegi3_Func004Func010A,RRD,1,500000.00,MAGIC,UNIVERSAL,O,
,,kata_04_pegi3,Trig_kata_04_pegi3_Actions,RRD,2,4500000.00,MAGIC,UNIVERSAL,O,
,,kata_04_pegi4,Trig_kata_04_pegi4_Func004Func010A,RRD,1,500000.00,MAGIC,UNIVERSAL,O,
,,kata_04_pegi4,Trig_kata_04_pegi4_Actions,RRD,2,4500000.00,MAGIC,UNIVERSAL,O,
h040,아인 네오 해군 장교 - 제한됨,Ain_Skill_1,Trig_Ain_Skill_1_Func018Func007A,RRD,1,320000.00,MAGIC,UNIVERSAL,O,
h040,아인 네오 해군 장교 - 제한됨,Ain_Skill_1,Trig_Ain_Skill_1_Func027A,RRD,2,320000.00,MAGIC,UNIVERSAL,O,
h040,아인 네오 해군 장교 - 제한됨,Ain_Skill_1,Trig_Ain_Skill_1_Actions,RRD,3,3500000.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h040,아인 네오 해군 장교 - 제한됨,Ain_Skill_1,Trig_Ain_Skill_1_Actions,RRD,4,350000.00,MAGIC,UNIVERSAL,O,
h040,아인 네오 해군 장교 - 제한됨,Ain_Skill_1,Trig_Ain_Skill_1_Actions,RRD,5,350000.00,MAGIC,UNIVERSAL,O,
h040,아인 네오 해군 장교 - 제한됨,Ain_Skill_2,Trig_Ain_Skill_2_Func003Func007A,RRD,1,240000.00,MAGIC,UNIVERSAL,O,
h040,아인 네오 해군 장교 - 제한됨,Ain_Skill_2,Trig_Ain_Skill_2_Func004Func007A,RRD,2,240000.00,MAGIC,UNIVERSAL,O,
h040,아인 네오 해군 장교 - 제한됨,Ain_Skill_2,Trig_Ain_Skill_2_Func005Func007A,RRD,3,240000.00,MAGIC,UNIVERSAL,O,
h040,아인 네오 해군 장교 - 제한됨,Ain_Skill_2,Trig_Ain_Skill_2_Actions,RRD,4,3500000.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h040,아인 네오 해군 장교 - 제한됨,Ain_Skill_2,Trig_Ain_Skill_2_Actions,RRD,5,350000.00,MAGIC,UNIVERSAL,O,
h040,아인 네오 해군 장교 - 제한됨,Ain_Skill_2,Trig_Ain_Skill_2_Actions,RRD,6,350000.00,MAGIC,UNIVERSAL,O,
h040,아인 네오 해군 장교 - 제한됨,Ain_Skill_2,Trig_Ain_Skill_2_Actions,RRD,7,350000.00,MAGIC,UNIVERSAL,O,
h07J,캐럿 스론 달의 사자 - 변화된,carrotattack,Trig_carrotattack_Func009A,RRD,1,(100000.00*(0.20+(0.05*I2R(GetUnitAbilityLevelSwapped('A11S',CHAOS,UNIVERSAL,O,
h07J,캐럿 스론 달의 사자 - 변화된,carrot_skill_2,Trig_carrot_skill_2_Func022A,RRD,1,325000.00,MAGIC,UNIVERSAL,O,
h084,시노부 뇌쇄 쿠노이치 - 제한됨,Sinobu_Attack,Trig_Sinobu_Attack_Actions,RRD,1,600000.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h084,시노부 뇌쇄 쿠노이치 - 제한됨,Sinobu_Attack,Trig_Sinobu_Attack_Actions,RRD,2,"(GetUnitStateSwap(UNIT_STATE_MAX_LIFE,GetTriggerUnit())*0.02",NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h084,시노부 뇌쇄 쿠노이치 - 제한됨,Sinobu_Attack,Trig_Sinobu_Attack_Actions,RRD,3,"((GetUnitStateSwap(UNIT_STATE_MAX_LIFE,GetTriggerUnit())*0.0",MELEE,UNIVERSAL,O,⚠MELEE=원작 Normal행
h084,시노부 뇌쇄 쿠노이치 - 제한됨,Sinobu_Skill_hp2,Trig_Sinobu_Skill_hp2_Actions,RRD,1,2250000.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h084,시노부 뇌쇄 쿠노이치 - 제한됨,Sinobu_Skill_hp2,Trig_Sinobu_Skill_hp2_Actions,RRD,2,"(GetUnitStateSwap(UNIT_STATE_MAX_LIFE,s__TrigVariables__get_",NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h084,시노부 뇌쇄 쿠노이치 - 제한됨,Sinobu_Skill_hp2,Trig_Sinobu_Skill_hp2_Actions,RRD,3,"((GetUnitStateSwap(UNIT_STATE_MAX_LIFE,s__TrigVariables__get",MELEE,UNIVERSAL,O,⚠MELEE=원작 Normal행
h086,시노부 뇌쇄 쿠노이치 - 제한됨-소환됨,Sinobu_Skill_5_mirror,Trig_Sinobu_Skill_5_mirror_Actions,RRD,1,300000.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h086,시노부 뇌쇄 쿠노이치 - 제한됨-소환됨,Sinobu_Skill_5_mirror,Trig_Sinobu_Skill_5_mirror_Actions,RRD,2,"(GetUnitStateSwap(UNIT_STATE_MAX_LIFE,GetTriggerUnit())*0.01",NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h086,시노부 뇌쇄 쿠노이치 - 제한됨-소환됨,Sinobu_Skill_5_mirror,Trig_Sinobu_Skill_5_mirror_Actions,RRD,3,"((GetUnitStateSwap(UNIT_STATE_MAX_LIFE,GetTriggerUnit())*0.0",MELEE,UNIVERSAL,O,⚠MELEE=원작 Normal행
h084,시노부 뇌쇄 쿠노이치 - 제한됨,Sinobu_Skill_4,Trig_Sinobu_Skill_4_Func044A,RRD,1,400000.00,MAGIC,UNIVERSAL,O,
h0AI,킹 삼재해:화재 - 제한됨,King_skill_2_tr,Trig_King_skill_2_tr_Func002Func011A,RRD,1,1275000.00,CHAOS,NORMAL,X,
h0AI,킹 삼재해:화재 - 제한됨,King_skill_2_tr,Trig_King_skill_2_tr_Actions,RRD,2,10000000.00,CHAOS,UNIVERSAL,O,
h0AI,킹 삼재해:화재 - 제한됨,King_skill_2_tr,Trig_King_skill_2_tr_Actions,RRD,3,100000.00,CHAOS,UNIVERSAL,O,
h0AI,킹 삼재해:화재 - 제한됨,King_skill_2,Trig_King_skill_2_Func002Func011A,RRD,1,850000.00,CHAOS,NORMAL,X,
h09Q,불사조 흰수염 유산의 수호자 - 제한됨,Marco_Feather2,Trig_Marco_Feather2_Func025A,RRD,1,(500000.00+(3.00*s__TrigVariables__get_realD(GlobalTV))),CHAOS,NORMAL,X,
h09Q,불사조 흰수염 유산의 수호자 - 제한됨,Marco_Feather2,Trig_Marco_Feather2_Actions,RRD,2,(750000.00+(4.50*s__TrigVariables__get_realD(GlobalTV))),CHAOS,UNIVERSAL,O,
h08O,마르코 흰수염 유산의 수호자 - 제한됨,Marco_S1,Trig_Marco_S1_Actions,RRD,1,"((GetUnitStateSwap(UNIT_STATE_LIFE,s__TrigVariables__get_uni",CHAOS,UNIVERSAL,O,
h08O,마르코 흰수염 유산의 수호자 - 제한됨,Marco_S1,Trig_Marco_S1_Actions,RRD,2,150000.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h08O,마르코 흰수염 유산의 수호자 - 제한됨,Marco_S2,Trig_Marco_S2_Func036A,RRD,1,750000.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h08O,마르코 흰수염 유산의 수호자 - 제한됨,Marco_S2,Trig_Marco_S2_Actions,RRD,2,"((GetUnitStateSwap(UNIT_STATE_LIFE,s__TrigVariables__get_uni",CHAOS,UNIVERSAL,O,
h08O,마르코 흰수염 유산의 수호자 - 제한됨,Marco_S2,Trig_Marco_S2_Actions,RRD,3,112500.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
H08W,CP.Zero,Luchi_Skill_1_Kick2,Trig_Luchi_Skill_1_Kick2_Func019A,RRD,1,400000.00,MAGIC,UNIVERSAL,O,
H08W,CP.Zero,Luchi_Skill_1_Kick2,Trig_Luchi_Skill_1_Kick2_Func025Func016Func002A,RRD,2,400000.00,MAGIC,UNIVERSAL,O,
H08W,CP.Zero,Luchi_Skill_1_Kick2,Trig_Luchi_Skill_1_Kick2_Actions,RRD,3,"(GetUnitStateSwap(UNIT_STATE_MAX_LIFE,s__TrigVariables__get_",CHAOS,UNIVERSAL,O,
H08W,CP.Zero,Luchi_Skill_2_ZiGun,Trig_Luchi_Skill_2_ZiGun_Actions,RRD,1,"((GetUnitStateSwap(UNIT_STATE_LIFE,s__TrigVariables__get_uni",CHAOS,UNIVERSAL,O,
H08W,CP.Zero,Luchi_Skill_2_ZiGun,Trig_Luchi_Skill_2_ZiGun_Actions,RRD,2,(500000.00*(1+((0.001)*(I2R(udg_Load_PlayCount[GetConvertedP,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
H08W,CP.Zero,Luchi_Skill_2_ZiGun,Trig_Luchi_Skill_2_ZiGun_Actions,RRD,3,(500000.00*(1+((0.001)*(I2R(udg_Load_PlayCount[GetConvertedP,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
H08W,CP.Zero,Luchi_Skill_3_6kinggun,Trig_Luchi_Skill_3_6kinggun_Func020A,RRD,1,(1000000.00*(0.20+(0.05*I2R(GetUnitAbilityLevelSwapped('A11S,CHAOS,UNIVERSAL,O,
H08W,CP.Zero,Luchi_Skill_3_6kinggun,Trig_Luchi_Skill_3_6kinggun_Actions,RRD,2,2000000.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
H08W,CP.Zero,Luchi_Skill_3_6kinggun,Trig_Luchi_Skill_3_6kinggun_Actions,RRD,3,"(GetUnitStateSwap(UNIT_STATE_LIFE,s__TrigVariables__get_unit",CHAOS,UNIVERSAL,O,
H099,명왕 레일리의 제자,Ruffy_AttackDamage,Trig_Ruffy_AttackDamage_Actions,RRD,1,((GetEventDamage()*2.50)+32500.00),CHAOS,UNIVERSAL,O,
H099,명왕 레일리의 제자,Ruffy_Mana,Trig_Ruffy_Mana_Func028A,RRD,1,"((1750000.00+(GetUnitStateSwap(UNIT_STATE_MAX_LIFE,GetEnumUn",HERO,NORMAL,X,
H099,명왕 레일리의 제자,Ruffy_Mana,Trig_Ruffy_Mana_Actions,RRD,2,"((1750000.00+(GetUnitStateSwap(UNIT_STATE_MAX_LIFE,s__TrigVa",HERO,NORMAL,X,
,,Shanks_ET_pegi1,Trig_Shanks_ET_pegi1_Func001Func001Func002Func008A,RRD,1,250000.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
