우리에셋,원작능력ID,더미경로,base,문제의필드,triggerChance,로스터배선유닛,지금도는가,우리효과목록(파일전체),필드값,1_필드뜻,2_atar,3_오더,4_판정
SkillData_원작능력_랜덤_호시노_아이.asset,A0LJ,Trig_k1 -> e0CT(R랜유 k 더미 3 미닛츠 더미) -> A0LJ,AOws,Wrs1,0.14,랜덤_호시노_아이,Y,kind0/basis0/mult600000.0/bonus0.0 | kind0/basis1/mult0.02/bonus3125000.0 | kind0/basis0/mult1000000.0/bonus0.0 | kind0/basis0/mult2500000.0/bonus0.0 | kind0/basis1/mult0.06/bonus0.0 | kind0/basis0/mult600000.0/bonus0.0 | kind0/basis0/mult300000.0/bonus0.0 | kind0/basis0/mult5000.0/bonus0.0 | kind0/basis0/mult5000.0/bonus0.0 | kind0/basis0/mult600000.0/bonus0.0 | kind0/basis0/mult300000.0/bonus0.0 | kind0/basis0/mult5000.0/bonus0.0 | kind0/basis0/mult5000.0/bonus0.0 | kind0/basis0/mult4.0/bonus0.0 | kind0/basis3/mult6.25/bonus400000.0,5000.0,전투의 함성 — 피해,N/A(시전형),OK (stomp),✅ 유효
SkillData_원작능력_영원_김영원.asset,A0LY,Trig_ViVi_Attack -> e0D3(E영원 비비 절대쿨 더미) -> A0LY,AUfa,(피해 필드 없음),1.0,영원_김영원,Y,kind0/basis0/mult500000.0/bonus0.0 | kind0/basis0/mult6.0/bonus0.0 | kind0/basis0/mult6.0/bonus0.0 | kind0/basis0/mult4.0/bonus0.0,,🔴 프로스트아머 — Ufa1은 절대쿨 지속시간(초). 「5절대쿨 …」. 피해 아님,N/A(시전형),N/A(피해 필드가 없다),🔴 피해 아님 — 제거
SkillData_원작능력_전설적인_이시원.asset,A0O1,Trig_Legend28koby -> e0DR(!전설 코비 마나) -> A0O1,ANht,(피해 필드 없음),0.66,전설적인_이시원,Y,kind0/basis2/mult0.27/bonus0.0 | kind0/basis0/mult100000.0/bonus0.0 | kind0/basis2/mult0.27/bonus0.0 | kind0/basis0/mult100000.0/bonus0.0 | kind0/basis0/mult-0.2/bonus0.0 | kind0/basis3/mult0.0/bonus200000.0,,🔴 하울오브테러 — Roa1은 공격력 증감율(음수). 「7하울오브테러」·「7용기의 외침」. 피해 아님,N/A(시전형),N/A(피해 필드가 없다),🔴 피해 아님 — 제거
SkillData_원작능력_전설적인_이재윤.asset,A0O6,Trig_Legend29 -> e0DX(!전설 히루루크 벚꽃) -> A0O6,AUls,(피해 필드 없음),0.12,전설적인_이재윤,Y,kind0/basis1/mult0.5/bonus0.0 | kind0/basis1/mult0.5/bonus0.0 | kind0/basis0/mult100.0/bonus0.0,,"🔴 로커스트 스웜 — Uls1은 소환 마리 수(16/14), Ulsu가 소환 유닛. 피해 필드 없음",N/A(시전형),N/A(피해 필드가 없다),🔴 피해 아님 — 제거
SkillData_원작능력_전설적인_홍인창.asset,A0O8,Trig_Legend22 -> e034(!전설 루피나이트메어 그림자일격 더미1) -> A0O8,Ainf,(피해 필드 없음),1.0,전설적인_홍인창,Y,kind0/basis0/mult3000000.0/bonus0.0 | kind0/basis0/mult4000000.0/bonus0.0 | kind0/basis0/mult300000.0/bonus0.0 | kind0/basis0/mult3000000.0/bonus0.0 | kind0/basis0/mult500000.0/bonus0.0 | kind0/basis0/mult400000.0/bonus0.0 | kind0/basis0/mult3000000.0/bonus0.0 | kind0/basis0/mult500000.0/bonus0.0 | kind0/basis0/mult400000.0/bonus0.0 | kind0/basis0/mult500.0/bonus0.0 | kind0/basis3/mult11.0/bonus0.0,,🔴 이너파이어 — Inf1은 공격력 증가율(툴팁 「공격력 35% 증가」=0.35). 피해 아님,N/A(시전형),N/A(피해 필드가 없다),🔴 피해 아님 — 제거
SkillData_원작능력_영원_윤현모.asset,A0OH,Trig_Ace_Attack -> e0AI(E영원 에이스 특대화권 더미2) -> A0OH,ANpi,Eim1,0.2,영원_윤현모,Y,kind0/basis0/mult1500000.0/bonus0.0 | kind0/basis0/mult500000.0/bonus0.0 | kind0/basis0/mult1000000.0/bonus0.0 | kind0/basis0/mult300000.0/bonus0.0 | kind0/basis0/mult120000.0/bonus0.0 | kind0/basis0/mult950.0/bonus0.0 | kind0/basis0/mult4.25/bonus0.0 | kind0/basis0/mult1000000.0/bonus0.0 | kind0/basis0/mult300000.0/bonus0.0 | kind0/basis0/mult120000.0/bonus0.0 | kind0/basis0/mult950.0/bonus0.0 | kind0/basis0/mult4.25/bonus0.0 | kind0/basis0/mult4.25/bonus0.0,120000.0,임페일 — 피해,N/A(시전형),🔴 오더 없음,🔴 미작동 — 제거
SkillData_원작능력_희귀함_장태영.asset,A0PC,Trig_Unique32 -> e0BR(U희귀함 루피 더미 3) -> A0PC,AHtb,Htb1,0.17,희귀함_장태영,Y,kind0/basis0/mult22500.0/bonus0.0 | kind0/basis0/mult22500.0/bonus0.0 | kind0/basis0/mult10000.0/bonus0.0 | kind0/basis3/mult0.0/bonus3000.0,10000.0,폭풍망치 — 피해,N/A(시전형),OK (thunderbolt),✅ 유효
SkillData_원작능력_불멸_이이삭.asset,A0PL,Trig_Sengoku_Attack -> e02B(#불멸 센고쿠 여래신장 더스트) -> A0PL,AOws,Wrs1,0.05,불멸_이이삭,Y,kind0/basis0/mult427500.0/bonus0.0 | kind0/basis2/mult0.02/bonus400000.0 | kind0/basis2/mult0.015/bonus300000.0,427500.0,전투의 함성 — 피해,N/A(시전형),OK (stomp),✅ 유효
SkillData_원작능력_제한_최영민.asset,A0PV,Trig_RedAttack -> e07R(%제한됨 패트릭 흡혈 2) -> A0PV,ACca,Ucs1,0.75,제한_최영민,Y,kind0/basis0/mult800000.0/bonus0.0 | kind0/basis0/mult850000.0/bonus0.0 | kind0/basis0/mult1275000.0/bonus0.0 | kind0/basis0/mult10000000.0/bonus0.0 | kind0/basis0/mult700000.0/bonus0.0 | kind0/basis0/mult162500.0/bonus0.0 | kind0/basis0/mult700000.0/bonus0.0 | kind0/basis0/mult162500.0/bonus0.0 | kind0/basis1/mult0.0275/bonus0.0 | kind0/basis3/mult2.5/bonus0.0 | kind0/basis3/mult0.0/bonus0.0 | kind0/basis3/mult4.25/bonus150000.0 | kind0/basis3/mult0.0/bonus0.0,700000.0,시체폭발(크립) — 피해,N/A(시전형),OK (carrionswarm),✅ 유효
SkillData_원작능력_희귀함_윤현모.asset,A0PX,Trig_Unique11 -> e057(U희귀함 아오키지 더미) -> A0PX,AOws,Wrs1,0.0833333333333333,희귀함_윤현모,Y,kind0/basis0/mult9000.0/bonus0.0,9000.0,전투의 함성 — 피해,N/A(시전형),OK (stomp),✅ 유효
SkillData_원작능력_희귀함_정내연.asset,A0QH,Trig_Unique33 -> e0BT(U희귀함 조로 더미 2) -> A0QH,AHtb,Htb1,0.4,희귀함_정내연,Y,kind0/basis0/mult50000.0/bonus0.0,50000.0,폭풍망치 — 피해,N/A(시전형),OK (thunderbolt),✅ 유효
SkillData_원작능력_랜덤_호시노_아이.asset,A0QK,Trig_k1 -> e0EP(R랜유 k 더미 1 체인 드라이브2 공속증가) -> A0QK,Ablo,(피해 필드 없음),0.14,랜덤_호시노_아이,Y,kind0/basis0/mult600000.0/bonus0.0 | kind0/basis1/mult0.02/bonus3125000.0 | kind0/basis0/mult1000000.0/bonus0.0 | kind0/basis0/mult2500000.0/bonus0.0 | kind0/basis1/mult0.06/bonus0.0 | kind0/basis0/mult600000.0/bonus0.0 | kind0/basis0/mult300000.0/bonus0.0 | kind0/basis0/mult5000.0/bonus0.0 | kind0/basis0/mult5000.0/bonus0.0 | kind0/basis0/mult600000.0/bonus0.0 | kind0/basis0/mult300000.0/bonus0.0 | kind0/basis0/mult5000.0/bonus0.0 | kind0/basis0/mult5000.0/bonus0.0 | kind0/basis0/mult4.0/bonus0.0 | kind0/basis3/mult6.25/bonus400000.0,,🔴 블러드러스트 — Blo1은 공격속도/공격력 증가. 피해 아님,N/A(시전형),N/A(피해 필드가 없다),🔴 피해 아님 — 제거
SkillData_원작능력_제한_이충민.asset,A0R7,Trig_katakuriAttack -> e0FA(%제한됨변화 카타쿠리 버프) -> A0R7,Ablo,(피해 필드 없음),1.0,제한_이충민,Y,kind0/basis0/mult162500.0/bonus0.0 | kind0/basis0/mult150000.0/bonus0.0 | kind0/basis0/mult750000.0/bonus0.0 | kind0/basis0/mult4.0/bonus0.0 | kind0/basis3/mult0.0/bonus0.0,,🔴 블러드러스트 — Blo1은 공격속도/공격력 증가. 피해 아님,N/A(시전형),N/A(피해 필드가 없다),🔴 피해 아님 — 제거
SkillData_원작능력_희귀함_이재윤.asset,A0R8,Trig_Unique18 -> e03O(U희귀함 이완코브 더미) -> A0R8,AOws,Wrs1,0.2,희귀함_이재윤,Y,kind0/basis0/mult13000.0/bonus0.0,13000.0,전투의 함성 — 피해,N/A(시전형),OK (stomp),✅ 유효
SkillData_원작능력_특별함_주영호.asset,A0RF,Trig_Speical1 -> e099(S특별함 나미 더미) -> A0RF,AOae,(피해 필드 없음),0.2,특별함_주영호,Y,kind0/basis0/mult800.0/bonus0.0 | kind0/basis0/mult800.0/bonus0.0 | kind0/basis0/mult-0.05/bonus0.0,,🔴 인내의 오라 — Oae1/Oae2는 이동·공격속도 증감. 피해 아님,OK,N/A(피해 필드가 없다),🔴 피해 아님 — 제거
SkillData_원작능력_불멸_신지우.asset,A0SZ,Trig_Kaido_Attack -> e0H5(#불멸 카이도우 [공통] 번개) -> A0SZ,AOws,Wrs1,0.45,불멸_신지우,Y,kind0/basis0/mult1000000.0/bonus0.0 | kind0/basis0/mult8750000.0/bonus0.0 | kind0/basis1/mult0.1/bonus0.0 | kind0/basis0/mult500000.0/bonus0.0 | kind0/basis0/mult70000.0/bonus0.0 | kind0/basis0/mult0.35/bonus0.0 | kind0/basis0/mult500000.0/bonus0.0 | kind0/basis0/mult70000.0/bonus0.0 | kind0/basis0/mult0.35/bonus0.0 | kind0/basis0/mult0.01/bonus0.0 | kind0/basis3/mult0.0/bonus350000.0 | kind0/basis3/mult6.25/bonus0.0 | kind0/basis3/mult6.25/bonus0.0 | kind0/basis3/mult0.0/bonus0.0 | kind0/basis0/mult750000.0/bonus0.0,70000.0,전투의 함성 — 피해,N/A(시전형),OK (stomp),✅ 유효
SkillData_원작능력_희귀함_임채민.asset,A0TO,Trig_Unique29 -> e0EN(U희귀함 베이비 더미) -> A0TO,AHtb,Htb1,0.35,희귀함_임채민,Y,kind0/basis0/mult15000.0/bonus0.0 | kind0/basis0/mult6000.0/bonus0.0 | kind0/basis0/mult15000.0/bonus0.0 | kind0/basis0/mult6000.0/bonus0.0 | kind0/basis0/mult1.0/bonus0.0,1.0,폭풍망치 — 피해,N/A(시전형),OK (thunderbolt),✅ 유효
SkillData_원작능력_전설적인_이일중.asset,A0U5,Trig_Legend30 -> e0HZ(!전설 시노부 더미4) -> A0U5,AOwk,(피해 필드 없음),0.17,전설적인_이일중,Y,kind0/basis0/mult400000.0/bonus0.0 | kind0/basis1/mult0.06/bonus0.0 | kind0/basis1/mult0.01/bonus0.0 | kind0/basis0/mult400000.0/bonus0.0 | kind0/basis1/mult0.06/bonus0.0 | kind0/basis1/mult0.01/bonus0.0 | kind0/basis0/mult0.9/bonus0.0 | kind0/basis3/mult0.0/bonus0.0,,🔴 윈드워크 — 형제 9개가 전부 「…사운드」. Owk2(백스탭)=0. 소리용 껍데기,🔴 <미지정>,N/A(피해 필드가 없다),🔴 피해 아님 — 제거
SkillData_원작능력_제한_임준성.asset,A0U5,Trig_Sinobu_Attack -> e0HZ(!전설 시노부 더미4) -> A0U5,AOwk,(피해 필드 없음),0.125,제한_임준성,Y,kind0/basis0/mult600000.0/bonus0.0 | kind0/basis0/mult400000.0/bonus0.0 | kind0/basis0/mult2250000.0/bonus0.0 | kind0/basis0/mult600000.0/bonus0.0 | kind0/basis1/mult0.08/bonus0.0 | kind0/basis1/mult0.02/bonus0.0 | kind0/basis0/mult600000.0/bonus0.0 | kind0/basis1/mult0.08/bonus0.0 | kind0/basis1/mult0.02/bonus0.0 | kind0/basis0/mult0.9/bonus0.0 | kind0/basis3/mult0.0/bonus0.0,,🔴 윈드워크 — 형제 9개가 전부 「…사운드」. Owk2(백스탭)=0. 소리용 껍데기,🔴 <미지정>,N/A(피해 필드가 없다),🔴 피해 아님 — 제거
SkillData_원작능력_전설적인_엄태웅.asset,A0W6,Trig_Legend25 -> e0NR(!전설 나미 더미3) -> A0W6,AOae,(피해 필드 없음),0.18,전설적인_엄태웅,Y,kind0/basis0/mult325000.0/bonus0.0 | kind0/basis0/mult325000.0/bonus0.0 | kind0/basis0/mult-0.42/bonus0.0,,🔴 인내의 오라 — Oae1/Oae2는 이동·공격속도 증감. 피해 아님,OK,N/A(피해 필드가 없다),🔴 피해 아님 — 제거
SkillData_원작능력_영원_최상호.asset,A0X3,Trig_Cavendish_Attack -> e08G(E영원 캐번디시 1스킬 더미1) -> A0X3,AIfb,Idam,0.1,영원_최상호,Y,kind0/basis0/mult2775000.0/bonus0.0 | kind0/basis0/mult1150000.0/bonus0.0 | kind0/basis0/mult2775000.0/bonus0.0 | kind0/basis0/mult1625000.0/bonus0.0 | kind0/basis0/mult950000.0/bonus0.0 | kind0/basis0/mult500000.0/bonus0.0 | kind0/basis0/mult50000.0/bonus0.0 | kind0/basis0/mult2775000.0/bonus0.0 | kind0/basis0/mult1625000.0/bonus0.0 | kind0/basis0/mult950000.0/bonus0.0 | kind0/basis0/mult500000.0/bonus0.0 | kind0/basis0/mult50000.0/bonus0.0 | kind0/basis0/mult50000.0/bonus0.0 | kind0/basis3/mult10.0/bonus400000.0 | kind0/basis3/mult3.5/bonus0.0 | kind0/basis3/mult0.0/bonus0.0,50000.0,아이템 화염구 — 혼재 [미확인],N/A(시전형),🔴 오더 stomp 있으나 base AIfb와 불일치,🔴 미작동 — 제거
SkillData_원작능력_불멸_신지우.asset,A0ZO,Trig_Kaido_Attack -> e0MP(#불멸 카이도우 버프더미-기본) -> A0ZO,Ablo,(피해 필드 없음),0.45,불멸_신지우,Y,kind0/basis0/mult1000000.0/bonus0.0 | kind0/basis0/mult8750000.0/bonus0.0 | kind0/basis1/mult0.1/bonus0.0 | kind0/basis0/mult500000.0/bonus0.0 | kind0/basis0/mult70000.0/bonus0.0 | kind0/basis0/mult0.35/bonus0.0 | kind0/basis0/mult500000.0/bonus0.0 | kind0/basis0/mult70000.0/bonus0.0 | kind0/basis0/mult0.35/bonus0.0 | kind0/basis0/mult0.01/bonus0.0 | kind0/basis3/mult0.0/bonus350000.0 | kind0/basis3/mult6.25/bonus0.0 | kind0/basis3/mult6.25/bonus0.0 | kind0/basis3/mult0.0/bonus0.0 | kind0/basis0/mult750000.0/bonus0.0,,🔴 블러드러스트 — Blo1은 공격속도/공격력 증가. 피해 아님,N/A(시전형),N/A(피해 필드가 없다),🔴 피해 아님 — 제거
SkillData_원작능력_불멸_신지우.asset,A0ZX,Trig_Kaido_Attack -> e0MP(#불멸 카이도우 버프더미-기본) -> A0ZX,Ainf,(피해 필드 없음),0.45,불멸_신지우,Y,kind0/basis0/mult1000000.0/bonus0.0 | kind0/basis0/mult8750000.0/bonus0.0 | kind0/basis1/mult0.1/bonus0.0 | kind0/basis0/mult500000.0/bonus0.0 | kind0/basis0/mult70000.0/bonus0.0 | kind0/basis0/mult0.35/bonus0.0 | kind0/basis0/mult500000.0/bonus0.0 | kind0/basis0/mult70000.0/bonus0.0 | kind0/basis0/mult0.35/bonus0.0 | kind0/basis0/mult0.01/bonus0.0 | kind0/basis3/mult0.0/bonus350000.0 | kind0/basis3/mult6.25/bonus0.0 | kind0/basis3/mult6.25/bonus0.0 | kind0/basis3/mult0.0/bonus0.0 | kind0/basis0/mult750000.0/bonus0.0,,🔴 이너파이어 — Inf1은 공격력 증가율(툴팁 「공격력 35% 증가」=0.35). 피해 아님,N/A(시전형),N/A(피해 필드가 없다),🔴 피해 아님 — 제거
SkillData_원작능력_제한_이유범.asset,A10X,Trig_King_Attack -> e0NS(%제한됨변화 킹 공속더미1) -> A10X,Ablo,(피해 필드 없음),0.2,제한_이유범,Y,kind0/basis1/mult0.08/bonus0.0 | kind0/basis0/mult0.3/bonus0.0,,🔴 블러드러스트 — Blo1은 공격속도/공격력 증가. 피해 아님,N/A(시전형),N/A(피해 필드가 없다),🔴 피해 아님 — 제거
SkillData_원작능력_영원_김영원.asset,A121,Trig_ViVi_Attack -> e0D3(E영원 비비 절대쿨 더미) -> A121,Ablo,(피해 필드 없음),1.0,영원_김영원,Y,kind0/basis0/mult500000.0/bonus0.0 | kind0/basis0/mult6.0/bonus0.0 | kind0/basis0/mult6.0/bonus0.0 | kind0/basis0/mult4.0/bonus0.0,,🔴 블러드러스트 — Blo1은 공격속도/공격력 증가. 피해 아님,N/A(시전형),N/A(피해 필드가 없다),🔴 피해 아님 — 제거
SkillData_원작능력_불멸_김용태.asset,A12U,Trig_roger_Attack -> e07W(#불멸 로저 더미4) -> A12U,Apg2,(피해 필드 없음),0.18,불멸_김용태,Y,kind0/basis0/mult800000.0/bonus0.0 | kind0/basis0/mult7250000.0/bonus0.0 | kind0/basis0/mult250000.0/bonus0.0 | kind0/basis3/mult0.0/bonus500000.0 | kind0/basis0/mult1000000.0/bonus0.0 | kind0/basis0/mult800000.0/bonus0.0 | kind0/basis0/mult0.5/bonus0.0,,🔴 퍼지 — Prg1/4/5는 지속·감속. 피해 아님,N/A(시전형),N/A(피해 필드가 없다),🔴 피해 아님 — 제거
SkillData_원작능력_불멸_고도현.asset,A13U,Trig_Shiki_Attack -> e026(#불멸 시키 더미) -> A13U,AHad,(피해 필드 없음),1.0,불멸_고도현,Y,kind0/basis0/mult750000.0/bonus0.0 | kind0/basis0/mult3250000.0/bonus0.0 | kind0/basis0/mult250000.0/bonus0.0 | kind0/basis1/mult0.025/bonus0.0 | kind0/basis3/mult0.0/bonus0.0 | kind0/basis0/mult400000.0/bonus0.0 | kind0/basis0/mult-7.0/bonus0.0,,🔴 신념의 오라 — Had1은 방어력 증감(음수=감소). 피해 아님,OK,N/A(피해 필드가 없다),🔴 피해 아님 — 제거
SkillData_원작능력_전설적인_정준영.asset,A16K,Trig_Legend9 -> e0H8(!전설 스모커 더미3) -> A16K,Apg2,(피해 필드 없음),0.25,전설적인_정준영,Y,kind0/basis0/mult1000000.0/bonus0.0 | kind0/basis0/mult250000.0/bonus0.0 | kind0/basis0/mult450000.0/bonus0.0 | kind0/basis0/mult450000.0/bonus0.0 | kind0/basis0/mult200000.0/bonus0.0 | kind0/basis0/mult450000.0/bonus0.0 | kind0/basis0/mult450000.0/bonus0.0 | kind0/basis0/mult200000.0/bonus0.0 | kind0/basis0/mult0.5/bonus0.0 | kind0/basis3/mult0.0/bonus500000.0 | kind0/basis3/mult5.0/bonus0.0 | kind0/basis3/mult0.0/bonus250000.0 | kind0/basis3/mult0.0/bonus0.0,,🔴 퍼지 — Prg1/4/5는 지속·감속. 피해 아님,N/A(시전형),N/A(피해 필드가 없다),🔴 피해 아님 — 제거
SkillData_원작능력_영원_문필환.asset,A16W,Trig_Uta_Attack -> e0R1(E영원 우타 오선보1) -> A16W,AOws,Wrs1,0.14,영원_문필환,Y,kind0/basis0/mult1000000.0/bonus0.0 | kind0/basis0/mult500000.0/bonus0.0 | kind0/basis0/mult500000.0/bonus0.0 | kind0/basis0/mult450000.0/bonus0.0 | kind0/basis3/mult5.0/bonus0.0 | kind0/basis3/mult5.0/bonus0.0,450000.0,전투의 함성 — 피해,N/A(시전형),OK (stomp),✅ 유효
SkillData_원작능력_영원_김정래.asset,A07N,Trig_Bugi_Attack -> h076([히든조합]엠포리오 이완코브임펠다운 5.5층 뉴카마왕국의 왕(?)소환됨) -> A07N,Asph,(피해 필드 없음),0.0,영원_김정래,N,kind0/basis0/mult950000.0/bonus0.0 | kind0/basis0/mult20.0/bonus0.0 | kind0/basis0/mult1.0/bonus0.0 | kind0/basis0/mult0.45/bonus0.0 | kind0/basis0/mult-0.33/bonus0.0 | kind0/basis0/mult20.0/bonus0.0 | kind0/basis0/mult1.0/bonus0.0 | kind0/basis0/mult0.45/bonus0.0 | kind0/basis0/mult-0.33/bonus0.0 | kind0/basis0/mult-11.0/bonus0.0 | kind0/basis3/mult7.77/bonus3333333.0 | kind0/basis3/mult0.0/bonus0.0 | kind0/basis3/mult0.0/bonus0.0 | kind0/basis3/mult0.0/bonus0.0 | kind0/basis3/mult0.0/bonus0.0,,🔴 스피어 — 데이터 필드가 아예 없다(형제 70개 전부). 순수 시각 이펙트,🔴 <미지정>,N/A(피해 필드가 없다),🔴 피해 아님 — 제거
SkillData_원작능력_영원_김정래.asset,A0E4,Trig_Bugi_Attack -> h076([히든조합]엠포리오 이완코브임펠다운 5.5층 뉴카마왕국의 왕(?)소환됨) -> A0E4,AHad,(피해 필드 없음),0.0,영원_김정래,N,kind0/basis0/mult950000.0/bonus0.0 | kind0/basis0/mult20.0/bonus0.0 | kind0/basis0/mult1.0/bonus0.0 | kind0/basis0/mult0.45/bonus0.0 | kind0/basis0/mult-0.33/bonus0.0 | kind0/basis0/mult20.0/bonus0.0 | kind0/basis0/mult1.0/bonus0.0 | kind0/basis0/mult0.45/bonus0.0 | kind0/basis0/mult-0.33/bonus0.0 | kind0/basis0/mult-11.0/bonus0.0 | kind0/basis3/mult7.77/bonus3333333.0 | kind0/basis3/mult0.0/bonus0.0 | kind0/basis3/mult0.0/bonus0.0 | kind0/basis3/mult0.0/bonus0.0 | kind0/basis3/mult0.0/bonus0.0,,🔴 신념의 오라 — Had1은 방어력 증감(음수=감소). 피해 아님,OK,N/A(피해 필드가 없다),🔴 피해 아님 — 제거
SkillData_원작능력_영원_김정래.asset,A0F1,Trig_Bugi_Attack -> h079(임펠다운 Lv.6죄수 버기의 부하 - 초월함) -> A0F1,ACbh,Hbh3,0.0,영원_김정래,N,kind0/basis0/mult950000.0/bonus0.0 | kind0/basis0/mult20.0/bonus0.0 | kind0/basis0/mult1.0/bonus0.0 | kind0/basis0/mult0.45/bonus0.0 | kind0/basis0/mult-0.33/bonus0.0 | kind0/basis0/mult20.0/bonus0.0 | kind0/basis0/mult1.0/bonus0.0 | kind0/basis0/mult0.45/bonus0.0 | kind0/basis0/mult-0.33/bonus0.0 | kind0/basis0/mult-11.0/bonus0.0 | kind0/basis3/mult7.77/bonus3333333.0 | kind0/basis3/mult0.0/bonus0.0 | kind0/basis3/mult0.0/bonus0.0 | kind0/basis3/mult0.0/bonus0.0 | kind0/basis3/mult0.0/bonus0.0,0.0,배시 — 추가피해(atar 규칙 적용),OK,N/A(패시브),✅ 유효
SkillData_원작능력_영원_김정래.asset,A0M5,Trig_Bugi_Attack -> e0AJ(E영원 버기 더미) -> A0M5,ANht,(피해 필드 없음),0.0,영원_김정래,N,kind0/basis0/mult950000.0/bonus0.0 | kind0/basis0/mult20.0/bonus0.0 | kind0/basis0/mult1.0/bonus0.0 | kind0/basis0/mult0.45/bonus0.0 | kind0/basis0/mult-0.33/bonus0.0 | kind0/basis0/mult20.0/bonus0.0 | kind0/basis0/mult1.0/bonus0.0 | kind0/basis0/mult0.45/bonus0.0 | kind0/basis0/mult-0.33/bonus0.0 | kind0/basis0/mult-11.0/bonus0.0 | kind0/basis3/mult7.77/bonus3333333.0 | kind0/basis3/mult0.0/bonus0.0 | kind0/basis3/mult0.0/bonus0.0 | kind0/basis3/mult0.0/bonus0.0 | kind0/basis3/mult0.0/bonus0.0,,🔴 하울오브테러 — Roa1은 공격력 증감율(음수). 「7하울오브테러」·「7용기의 외침」. 피해 아님,N/A(시전형),N/A(피해 필드가 없다),🔴 피해 아님 — 제거
SkillData_원작능력_영원_김정래.asset,A12V,Trig_Bugi_Attack -> h076([히든조합]엠포리오 이완코브임펠다운 5.5층 뉴카마왕국의 왕(?)소환됨) -> A12V,Ainf,(피해 필드 없음),0.0,영원_김정래,N,kind0/basis0/mult950000.0/bonus0.0 | kind0/basis0/mult20.0/bonus0.0 | kind0/basis0/mult1.0/bonus0.0 | kind0/basis0/mult0.45/bonus0.0 | kind0/basis0/mult-0.33/bonus0.0 | kind0/basis0/mult20.0/bonus0.0 | kind0/basis0/mult1.0/bonus0.0 | kind0/basis0/mult0.45/bonus0.0 | kind0/basis0/mult-0.33/bonus0.0 | kind0/basis0/mult-11.0/bonus0.0 | kind0/basis3/mult7.77/bonus3333333.0 | kind0/basis3/mult0.0/bonus0.0 | kind0/basis3/mult0.0/bonus0.0 | kind0/basis3/mult0.0/bonus0.0 | kind0/basis3/mult0.0/bonus0.0,,🔴 이너파이어 — Inf1은 공격력 증가율(툴팁 「공격력 35% 증가」=0.35). 피해 아님,N/A(시전형),N/A(피해 필드가 없다),🔴 피해 아님 — 제거
