우리에셋,원작능력ID,더미경로,base,문제의필드,triggerChance,로스터배선유닛,지금도는가,우리효과목록(파일전체)
SkillData_원작능력_제한_이충민.asset,A0R7,Trig_katakuriAttack -> e0FA(%제한됨변화 카타쿠리 버프) -> A0R7,,,1.0,제한_이충민,Y,kind0/basis0/mult162500.0/bonus0.0 | kind0/basis0/mult150000.0/bonus0.0 | kind0/basis0/mult750000.0/bonus0.0 | kind0/basis0/mult4.0/bonus0.0 | kind0/basis3/mult0.0/bonus0.0
SkillData_원작능력_희귀함_이재윤.asset,A0R8,Trig_Unique18 -> e03O(U희귀함 이완코브 더미) -> A0R8,,,0.2,희귀함_이재윤,Y,kind0/basis0/mult13000.0/bonus0.0
SkillData_원작능력_특별함_주영호.asset,A0RF,Trig_Speical1 -> e099(S특별함 나미 더미) -> A0RF,,,0.2,특별함_주영호,Y,kind0/basis0/mult800.0/bonus0.0 | kind0/basis0/mult800.0/bonus0.0 | kind0/basis0/mult-0.05/bonus0.0
SkillData_원작능력_불멸_신지우.asset,A0SZ,Trig_Kaido_Attack -> e0H5(#불멸 카이도우 [공통] 번개) -> A0SZ,,,0.45,불멸_신지우,Y,kind0/basis0/mult1000000.0/bonus0.0 | kind0/basis0/mult8750000.0/bonus0.0 | kind0/basis1/mult0.1/bonus0.0 | kind0/basis0/mult500000.0/bonus0.0 | kind0/basis0/mult70000.0/bonus0.0 | kind0/basis0/mult0.35/bonus0.0 | kind0/basis0/mult500000.0/bonus0.0 | kind0/basis0/mult70000.0/bonus0.0 | kind0/basis0/mult0.35/bonus0.0 | kind0/basis0/mult0.01/bonus0.0 | kind0/basis3/mult0.0/bonus350000.0 | kind0/basis3/mult6.25/bonus0.0 | kind0/basis3/mult6.25/bonus0.0 | kind0/basis3/mult0.0/bonus0.0 | kind0/basis0/mult750000.0/bonus0.0
SkillData_원작능력_희귀함_임채민.asset,A0TO,Trig_Unique29 -> e0EN(U희귀함 베이비 더미) -> A0TO,,,0.35,희귀함_임채민,Y,kind0/basis0/mult15000.0/bonus0.0 | kind0/basis0/mult6000.0/bonus0.0 | kind0/basis0/mult15000.0/bonus0.0 | kind0/basis0/mult6000.0/bonus0.0 | kind0/basis0/mult1.0/bonus0.0
SkillData_원작능력_전설적인_이일중.asset,A0U5,Trig_Legend30 -> e0HZ(!전설 시노부 더미4) -> A0U5,,,0.17,전설적인_이일중,Y,kind0/basis0/mult400000.0/bonus0.0 | kind0/basis1/mult0.06/bonus0.0 | kind0/basis1/mult0.01/bonus0.0 | kind0/basis0/mult400000.0/bonus0.0 | kind0/basis1/mult0.06/bonus0.0 | kind0/basis1/mult0.01/bonus0.0 | kind0/basis0/mult0.9/bonus0.0 | kind0/basis3/mult0.0/bonus0.0
SkillData_원작능력_제한_임준성.asset,A0U5,Trig_Sinobu_Attack -> e0HZ(!전설 시노부 더미4) -> A0U5,,,0.125,제한_임준성,Y,kind0/basis0/mult600000.0/bonus0.0 | kind0/basis0/mult400000.0/bonus0.0 | kind0/basis0/mult2250000.0/bonus0.0 | kind0/basis0/mult600000.0/bonus0.0 | kind0/basis1/mult0.08/bonus0.0 | kind0/basis1/mult0.02/bonus0.0 | kind0/basis0/mult600000.0/bonus0.0 | kind0/basis1/mult0.08/bonus0.0 | kind0/basis1/mult0.02/bonus0.0 | kind0/basis0/mult0.9/bonus0.0 | kind0/basis3/mult0.0/bonus0.0
SkillData_원작능력_전설적인_엄태웅.asset,A0W6,Trig_Legend25 -> e0NR(!전설 나미 더미3) -> A0W6,,,0.18,전설적인_엄태웅,Y,kind0/basis0/mult325000.0/bonus0.0 | kind0/basis0/mult325000.0/bonus0.0 | kind0/basis0/mult-0.42/bonus0.0
SkillData_원작능력_영원_최상호.asset,A0X3,Trig_Cavendish_Attack -> e08G(E영원 캐번디시 1스킬 더미1) -> A0X3,,,0.1,영원_최상호,Y,kind0/basis0/mult2775000.0/bonus0.0 | kind0/basis0/mult1150000.0/bonus0.0 | kind0/basis0/mult2775000.0/bonus0.0 | kind0/basis0/mult1625000.0/bonus0.0 | kind0/basis0/mult950000.0/bonus0.0 | kind0/basis0/mult500000.0/bonus0.0 | kind0/basis0/mult50000.0/bonus0.0 | kind0/basis0/mult2775000.0/bonus0.0 | kind0/basis0/mult1625000.0/bonus0.0 | kind0/basis0/mult950000.0/bonus0.0 | kind0/basis0/mult500000.0/bonus0.0 | kind0/basis0/mult50000.0/bonus0.0 | kind0/basis0/mult50000.0/bonus0.0 | kind0/basis3/mult10.0/bonus400000.0 | kind0/basis3/mult3.5/bonus0.0 | kind0/basis3/mult0.0/bonus0.0
SkillData_원작능력_불멸_신지우.asset,A0ZO,Trig_Kaido_Attack -> e0MP(#불멸 카이도우 버프더미-기본) -> A0ZO,,,0.45,불멸_신지우,Y,kind0/basis0/mult1000000.0/bonus0.0 | kind0/basis0/mult8750000.0/bonus0.0 | kind0/basis1/mult0.1/bonus0.0 | kind0/basis0/mult500000.0/bonus0.0 | kind0/basis0/mult70000.0/bonus0.0 | kind0/basis0/mult0.35/bonus0.0 | kind0/basis0/mult500000.0/bonus0.0 | kind0/basis0/mult70000.0/bonus0.0 | kind0/basis0/mult0.35/bonus0.0 | kind0/basis0/mult0.01/bonus0.0 | kind0/basis3/mult0.0/bonus350000.0 | kind0/basis3/mult6.25/bonus0.0 | kind0/basis3/mult6.25/bonus0.0 | kind0/basis3/mult0.0/bonus0.0 | kind0/basis0/mult750000.0/bonus0.0
SkillData_원작능력_불멸_신지우.asset,A0ZX,Trig_Kaido_Attack -> e0MP(#불멸 카이도우 버프더미-기본) -> A0ZX,,,0.45,불멸_신지우,Y,kind0/basis0/mult1000000.0/bonus0.0 | kind0/basis0/mult8750000.0/bonus0.0 | kind0/basis1/mult0.1/bonus0.0 | kind0/basis0/mult500000.0/bonus0.0 | kind0/basis0/mult70000.0/bonus0.0 | kind0/basis0/mult0.35/bonus0.0 | kind0/basis0/mult500000.0/bonus0.0 | kind0/basis0/mult70000.0/bonus0.0 | kind0/basis0/mult0.35/bonus0.0 | kind0/basis0/mult0.01/bonus0.0 | kind0/basis3/mult0.0/bonus350000.0 | kind0/basis3/mult6.25/bonus0.0 | kind0/basis3/mult6.25/bonus0.0 | kind0/basis3/mult0.0/bonus0.0 | kind0/basis0/mult750000.0/bonus0.0
SkillData_원작능력_제한_이유범.asset,A10X,Trig_King_Attack -> e0NS(%제한됨변화 킹 공속더미1) -> A10X,,,0.2,제한_이유범,Y,kind0/basis1/mult0.08/bonus0.0 | kind0/basis0/mult0.3/bonus0.0
SkillData_원작능력_영원_김영원.asset,A121,Trig_ViVi_Attack -> e0D3(E영원 비비 절대쿨 더미) -> A121,,,1.0,영원_김영원,Y,kind0/basis0/mult500000.0/bonus0.0 | kind0/basis0/mult6.0/bonus0.0 | kind0/basis0/mult6.0/bonus0.0 | kind0/basis0/mult4.0/bonus0.0
SkillData_원작능력_불멸_김용태.asset,A12U,Trig_roger_Attack -> e07W(#불멸 로저 더미4) -> A12U,,,0.18,불멸_김용태,Y,kind0/basis0/mult800000.0/bonus0.0 | kind0/basis0/mult7250000.0/bonus0.0 | kind0/basis0/mult250000.0/bonus0.0 | kind0/basis3/mult0.0/bonus500000.0 | kind0/basis0/mult1000000.0/bonus0.0 | kind0/basis0/mult800000.0/bonus0.0 | kind0/basis0/mult0.5/bonus0.0
SkillData_원작능력_불멸_고도현.asset,A13U,Trig_Shiki_Attack -> e026(#불멸 시키 더미) -> A13U,,,1.0,불멸_고도현,Y,kind0/basis0/mult750000.0/bonus0.0 | kind0/basis0/mult3250000.0/bonus0.0 | kind0/basis0/mult250000.0/bonus0.0 | kind0/basis1/mult0.025/bonus0.0 | kind0/basis3/mult0.0/bonus0.0 | kind0/basis0/mult400000.0/bonus0.0 | kind0/basis0/mult-7.0/bonus0.0
SkillData_원작능력_전설적인_정준영.asset,A16K,Trig_Legend9 -> e0H8(!전설 스모커 더미3) -> A16K,,,0.25,전설적인_정준영,Y,kind0/basis0/mult1000000.0/bonus0.0 | kind0/basis0/mult250000.0/bonus0.0 | kind0/basis0/mult450000.0/bonus0.0 | kind0/basis0/mult450000.0/bonus0.0 | kind0/basis0/mult200000.0/bonus0.0 | kind0/basis0/mult450000.0/bonus0.0 | kind0/basis0/mult450000.0/bonus0.0 | kind0/basis0/mult200000.0/bonus0.0 | kind0/basis0/mult0.5/bonus0.0 | kind0/basis3/mult0.0/bonus500000.0 | kind0/basis3/mult5.0/bonus0.0 | kind0/basis3/mult0.0/bonus250000.0 | kind0/basis3/mult0.0/bonus0.0
SkillData_원작능력_영원_문필환.asset,A16W,Trig_Uta_Attack -> e0R1(E영원 우타 오선보1) -> A16W,,,0.14,영원_문필환,Y,kind0/basis0/mult1000000.0/bonus0.0 | kind0/basis0/mult500000.0/bonus0.0 | kind0/basis0/mult500000.0/bonus0.0 | kind0/basis0/mult450000.0/bonus0.0 | kind0/basis3/mult5.0/bonus0.0 | kind0/basis3/mult5.0/bonus0.0
SkillData_원작능력_영원_김정래.asset,A07N,Trig_Bugi_Attack -> h076([히든조합]엠포리오 이완코브임펠다운 5.5층 뉴카마왕국의 왕(?)소환됨) -> A07N,,,0.0,영원_김정래,N,kind0/basis0/mult950000.0/bonus0.0 | kind0/basis0/mult20.0/bonus0.0 | kind0/basis0/mult1.0/bonus0.0 | kind0/basis0/mult0.45/bonus0.0 | kind0/basis0/mult-0.33/bonus0.0 | kind0/basis0/mult20.0/bonus0.0 | kind0/basis0/mult1.0/bonus0.0 | kind0/basis0/mult0.45/bonus0.0 | kind0/basis0/mult-0.33/bonus0.0 | kind0/basis0/mult-11.0/bonus0.0 | kind0/basis3/mult7.77/bonus3333333.0 | kind0/basis3/mult0.0/bonus0.0 | kind0/basis3/mult0.0/bonus0.0 | kind0/basis3/mult0.0/bonus0.0 | kind0/basis3/mult0.0/bonus0.0
SkillData_원작능력_영원_김정래.asset,A0E4,Trig_Bugi_Attack -> h076([히든조합]엠포리오 이완코브임펠다운 5.5층 뉴카마왕국의 왕(?)소환됨) -> A0E4,,,0.0,영원_김정래,N,kind0/basis0/mult950000.0/bonus0.0 | kind0/basis0/mult20.0/bonus0.0 | kind0/basis0/mult1.0/bonus0.0 | kind0/basis0/mult0.45/bonus0.0 | kind0/basis0/mult-0.33/bonus0.0 | kind0/basis0/mult20.0/bonus0.0 | kind0/basis0/mult1.0/bonus0.0 | kind0/basis0/mult0.45/bonus0.0 | kind0/basis0/mult-0.33/bonus0.0 | kind0/basis0/mult-11.0/bonus0.0 | kind0/basis3/mult7.77/bonus3333333.0 | kind0/basis3/mult0.0/bonus0.0 | kind0/basis3/mult0.0/bonus0.0 | kind0/basis3/mult0.0/bonus0.0 | kind0/basis3/mult0.0/bonus0.0
SkillData_원작능력_영원_김정래.asset,A0F1,Trig_Bugi_Attack -> h079(임펠다운 Lv.6죄수 버기의 부하 - 초월함) -> A0F1,,,0.0,영원_김정래,N,kind0/basis0/mult950000.0/bonus0.0 | kind0/basis0/mult20.0/bonus0.0 | kind0/basis0/mult1.0/bonus0.0 | kind0/basis0/mult0.45/bonus0.0 | kind0/basis0/mult-0.33/bonus0.0 | kind0/basis0/mult20.0/bonus0.0 | kind0/basis0/mult1.0/bonus0.0 | kind0/basis0/mult0.45/bonus0.0 | kind0/basis0/mult-0.33/bonus0.0 | kind0/basis0/mult-11.0/bonus0.0 | kind0/basis3/mult7.77/bonus3333333.0 | kind0/basis3/mult0.0/bonus0.0 | kind0/basis3/mult0.0/bonus0.0 | kind0/basis3/mult0.0/bonus0.0 | kind0/basis3/mult0.0/bonus0.0
SkillData_원작능력_영원_김정래.asset,A0M5,Trig_Bugi_Attack -> e0AJ(E영원 버기 더미) -> A0M5,,,0.0,영원_김정래,N,kind0/basis0/mult950000.0/bonus0.0 | kind0/basis0/mult20.0/bonus0.0 | kind0/basis0/mult1.0/bonus0.0 | kind0/basis0/mult0.45/bonus0.0 | kind0/basis0/mult-0.33/bonus0.0 | kind0/basis0/mult20.0/bonus0.0 | kind0/basis0/mult1.0/bonus0.0 | kind0/basis0/mult0.45/bonus0.0 | kind0/basis0/mult-0.33/bonus0.0 | kind0/basis0/mult-11.0/bonus0.0 | kind0/basis3/mult7.77/bonus3333333.0 | kind0/basis3/mult0.0/bonus0.0 | kind0/basis3/mult0.0/bonus0.0 | kind0/basis3/mult0.0/bonus0.0 | kind0/basis3/mult0.0/bonus0.0
SkillData_원작능력_영원_김정래.asset,A12V,Trig_Bugi_Attack -> h076([히든조합]엠포리오 이완코브임펠다운 5.5층 뉴카마왕국의 왕(?)소환됨) -> A12V,,,0.0,영원_김정래,N,kind0/basis0/mult950000.0/bonus0.0 | kind0/basis0/mult20.0/bonus0.0 | kind0/basis0/mult1.0/bonus0.0 | kind0/basis0/mult0.45/bonus0.0 | kind0/basis0/mult-0.33/bonus0.0 | kind0/basis0/mult20.0/bonus0.0 | kind0/basis0/mult1.0/bonus0.0 | kind0/basis0/mult0.45/bonus0.0 | kind0/basis0/mult-0.33/bonus0.0 | kind0/basis0/mult-11.0/bonus0.0 | kind0/basis3/mult7.77/bonus3333333.0 | kind0/basis3/mult0.0/bonus0.0 | kind0/basis3/mult0.0/bonus0.0 | kind0/basis3/mult0.0/bonus0.0 | kind0/basis3/mult0.0/bonus0.0
