유닛ID,유닛이름,등급,깊이,부모평타트리거,스킬트리거,게이트,RRD수,RRD요약,타입,퍼센트체력,범위,Flat합계,변수항,커버
h049,실버즈 레일리 명왕 - 불멸의,불멸의,1,Trig_LaillySkill,LaillySkill1,(게이트 없음),1,GetEventDamage(),CHAOS/NORMAL,,400.00,0,,미수록
h049,실버즈 레일리 명왕 - 불멸의,불멸의,1,Trig_LaillySkill,LaillySkill3,MANA게이지115.00,2,3250000.00 | 2750000.00,CHAOS/NORMAL,,750.00,6000000,,특성표
h049,실버즈 레일리 명왕 - 불멸의,불멸의,1,Trig_LaillySkill,Kick_1,절대쿨4.75s,3,"1750000.00 | (GetUnitStateSwap(UNIT_STATE_MAX_LIFE,s__Tri | 787500.00",CHAOS/NORMAL,MaxHp%,400.00,2537500,,특성표
h04A,에드워드 뉴게이트 한시대를 주름잡던 대해적 - ,불멸의,1,Trig_Ed_Attack,Ed_Skill_1_Item,LIFE게이지115.00 AND 1/22,2,((1750000.00+(GetUnitStateSwap(UNIT_STATE_MA | ((1750000.00+(GetUnitStateSwap(UNIT_STATE_MA,HERO/NORMAL,MaxHp%,625.00,3500000,,미수록
h04A,에드워드 뉴게이트 한시대를 주름잡던 대해적 - ,불멸의,1,Trig_Ed_Attack,Ed_Skill_1,LIFE게이지115.00 AND 1/22,2,((1750000.00+(GetUnitStateSwap(UNIT_STATE_MA | ((1750000.00+(GetUnitStateSwap(UNIT_STATE_MA,HERO/NORMAL,MaxHp%,625.00,3500000,,미수록
h04A,에드워드 뉴게이트 한시대를 주름잡던 대해적 - ,불멸의,1,Trig_Ed_Attack,Ed_Skill_2sc,LIFE게이지115.00 AND 1/8,0,,,,600.00,0,,미수록
h04B,금사자 시키 천신 - 불멸의,불멸의,1,Trig_Shiki_Attack,Shiki_Lion,MANA게이지125.00,1,3250000.00,NORMAL/UNIVERSAL,,700.00,3250000,,미수록
h04B,금사자 시키 천신 - 불멸의,불멸의,1,Trig_Shiki_Attack,Shiki_champa2,1/10 AND 1/16,1,400000.00,MAGIC/UNIVERSAL,,450.00,400000,,미수록
h04B,금사자 시키 천신 - 불멸의,불멸의,1,Trig_Shiki_Attack,Shiki_SKill_item,1/10 AND 1/33 AND 1/16 AND 1/2,1,250000.00,NORMAL/UNIVERSAL,,450.00,250000,,미수록
h04C,몽키.D.거프 해군영웅 주먹의 거프 - 불멸의,불멸의,1,Trig_Garp_Attack,Garp_AttackDamage,(게이트 없음),7,(GetEventDamage()*(1.10+s__TrigVariables__ge | (2500.00*s__TrigVariables__get_realG(GlobalT | (GetEventDamage()*(1+s__Tr,"CHAOS/NORMAL,CHAOS/UNIVERSAL,HERO/NORMAL,HERO/UNIVERSAL",CurHp%,"325.00,360.00,500.00",867500,있음,미수록
h04C,몽키.D.거프 해군영웅 주먹의 거프 - 불멸의,불멸의,1,Trig_Garp_Attack,Garp_Mana2,MANA게이지160.00,3,((6000000.00+(GetUnitStateSwap(UNIT_STATE_MA | ((6000000.00+(GetUnitStateSwap(UNIT_STATE_MA | ((7250000.00+(GetUnitState,HERO/NORMAL,MaxHp%,650.00,19250000,있음,특성표
h04D,몽키.D.드래곤 혁명군의 수장 - 불멸의,불멸의,1,Trig_Dragon_Attack,Dragon_Skill_Mana,MANA게이지160.00,1,300000.00,NORMAL/UNIVERSAL,,425.00,300000,,특성표
h04D,몽키.D.드래곤 혁명군의 수장 - 불멸의,불멸의,1,Trig_Dragon_Attack,Dragon_Skill_1_T,절대쿨8.5s,3,"1250000.00 | (1.50*GetUnitStateSwap(UNIT_STATE_MAX_LIFE,s | (0.02*GetUnitStateSwap(UNIT_STATE_MAX_LIFE,s",NORMAL/UNIVERSAL,MaxHp%,475.00,1250000,,특성표
h04D,몽키.D.드래곤 혁명군의 수장 - 불멸의,불멸의,1,Trig_Dragon_Attack,Dragon_Skill_1,절대쿨8.5s,2,1000000.00 | 1000000.00,NORMAL/UNIVERSAL,,475.00,2000000,,특성표
h04E,"센고쿠 해군원수 ""부처님"" - 불멸의",불멸의,1,Trig_Sengoku_Attack,Sengoku_Skill_Item,LIFE게이지75.00 AND 1/12,1,300000.00,NORMAL/UNIVERSAL,,450.00,300000,,미수록
h04F,스코퍼 가반 로져 해적단의 검호 - 불멸의,불멸의,1,Trig_Gaban_Attack,Gaban_Skill_mana,MANA게이지45.00,3,"((GetUnitStateSwap(UNIT_STATE_MAX_LIFE,udg_H | (0.10*GetUnitStateSwap(UNIT_STATE_MAX_LIFE,u | (0.03*GetUnitStateSwap(UNI","CHAOS/UNIVERSAL,HERO/UNIVERSAL",MaxHp%,,0,,미수록
h04F,스코퍼 가반 로져 해적단의 검호 - 불멸의,불멸의,1,Trig_Gaban_Attack,Gaban_Skill_1,1/24,2,"8750000.00 | ((GetUnitStateSwap(UNIT_STATE_MAX_LIFE,s__Tr","HERO/NORMAL,PIERCE/NORMAL",MaxHp%,,8750000,,미수록
h04G,"제트 해군 스승 ""Z"" - 불멸의",불멸의,1,Trig_Z_Attack,Z_Skill_Mana,MANA게이지160.00,1,(4850000.00+((GetUnitStateSwap(UNIT_STATE_MA,NORMAL/UNIVERSAL,MaxHp%,725.00,4850000,,미수록
h04G,"제트 해군 스승 ""Z"" - 불멸의",불멸의,1,Trig_Z_Attack,Z_Skill_1,버프B00M==true,2,s__TrigVariables__get_realG(GlobalTV) | 1250000.00,NORMAL/UNIVERSAL,,475.00,1250000,,특성표
h04G,"제트 해군 스승 ""Z"" - 불멸의",불멸의,1,Trig_Z_Attack,Z_skill_3,1/16,1,1000000.00,NORMAL/UNIVERSAL,,,1000000,,미수록
h04J,골.D.로져 해적왕 - 불멸의,불멸의,1,Trig_roger_Attack,roger_Mana,MANA게이지150.00,1,7250000.00,HERO/NORMAL,,500.00,7250000,,미수록
h04J,골.D.로져 해적왕 - 불멸의,불멸의,1,Trig_roger_Attack,roger_Skill_2,1/22,1,1450000.00,HERO/NORMAL,,850.00,1450000,,미수록
h04Q,빅 맘 강철 풍선 - 불멸의,불멸의,1,Trig_Bigmam_Attack,Bigmam_Eat,(게이트 없음),2,(1750000.00*(1+(0.01*I2R(GetItemCharges(udg_ | (4500000.00*(1+(0.01*I2R(GetItemCharges(udg_,"CHAOS/UNIVERSAL,NORMAL/UNIVERSAL",,"1000.00,600.00",6250000,,미수록
h057,|CFFFFFA78알라바스타의 왕녀-ver파이러,,1,Trig_ViVi_Attack,vivi_Skill_4_Mana,MANA게이지150.00,4,((300000.00+(GetUnitStateSwap(UNIT_STATE_MAX | 500000.00 | ((300000.00+(GetUnitStateSwap(UNIT_STATE_MAX,"CHAOS/UNIVERSAL,HERO/UNIVERSAL",MaxHp%,925.00,1600000,,미수록
h057,|CFFFFFA78알라바스타의 왕녀-ver파이러,,1,Trig_ViVi_Attack,vivi_Skill_3_Triple,MANA게이지150.00 AND 버프B06G==true,0,,,,,0,,미수록
h057,|CFFFFFA78알라바스타의 왕녀-ver파이러,,1,Trig_ViVi_Attack,vivi_Skill_Double,MANA게이지150.00 AND 1/4,0,,,,912.00,0,,미수록
h057,|CFFFFFA78알라바스타의 왕녀-ver파이러,,1,Trig_ViVi_Attack,vivi_skill_2,1/10,1,400000.00,CHAOS/NORMAL,,450.00,400000,,미수록
h058,|CFFFFFA78세계 최강의 대검호 쥬라클 미,,1,Trig_Mihawk_Attack,MIhawk_Mana,MANA게이지175.00,0,,,,750.00,0,,미수록
h058,|CFFFFFA78세계 최강의 대검호 쥬라클 미,,1,Trig_Mihawk_Attack,Mihawk_2,MANA게이지175.00,0,,,,"475.00,500.00",0,,미수록
h058,|CFFFFFA78세계 최강의 대검호 쥬라클 미,,1,Trig_Mihawk_Attack,Mihawk_4,1/7,0,,,,450.00,0,,미수록
h059,|CFFFFFA78'화권의' 포트거스.D.에이스,,1,Trig_Ace_Attack,ace_skill_5,MANA게이지185.00,1,s__TrigVariables__get_realD(GlobalTV),MAGIC/UNIVERSAL,,850.00,0,있음,미수록
h059,|CFFFFFA78'화권의' 포트거스.D.에이스,,1,Trig_Ace_Attack,ace_skill_3,1/35,1,1000000.00,MAGIC/UNIVERSAL,,650.00,1000000,,미수록
h05B,|CFFFFFA78해적왕자-롬멜의 카마이타치 카,,1,Trig_Cavendish_Attack,Cavendish_skill_Mana,MANA게이지100.00,3,(2200000.00+(I2R(GetPlayerTechCountSimple('R | (2200000.00+(I2R(GetPlayerTechCountSimple('R | 1000000.00,"CHAOS/NORMAL,CHAOS/UNIVERSAL",,900.00,5490000,,미수록
h05C,|CFFFFFA78'아마존릴리의 여제'  보아 ,,1,Trig_Hancock_Attack,hancock_skill_Mana,MANA게이지175.00,3,"(360000.00+(I2R(GetPlayerTechCountSimple('R0 | (GetUnitStateSwap(UNIT_STATE_MAX_LIFE,s__Tri | 300000.00","CHAOS/NORMAL,NORMAL/UNIVERSAL",MaxHp%,760.00,690000,,특성표
h05C,|CFFFFFA78'아마존릴리의 여제'  보아 ,,1,Trig_Hancock_Attack,arrow_h2,MANA게이지175.00 AND 버프B03M==true,1,250000.00,NORMAL/UNIVERSAL,,,250000,,미수록
h05C,|CFFFFFA78'아마존릴리의 여제'  보아 ,,1,Trig_Hancock_Attack,hancock_skill_9,MANA게이지175.00 AND 1/15,1,850000.00,HERO/NORMAL,,450.00,850000,,미수록
h05C,|CFFFFFA78'아마존릴리의 여제'  보아 ,,1,Trig_Hancock_Attack,hancock_skill_10,1/14,1,1000000.00,HERO/NORMAL,,600.00,1000000,,미수록
h05E,에넬 G.O.D - 제한됨,제한됨,1,Trig_EnelAttack,Enel_Mana,MANA게이지145.00,0,,,,800.00,0,,미수록
h05E,에넬 G.O.D - 제한됨,제한됨,1,Trig_EnelAttack,Enel_skill_2,1/10,1,(182500.00+(I2R(GetPlayerTechCountSimple('R0,NORMAL/UNIVERSAL,,500.00,195000,,미수록
h05F,크로커다일 사막의 악어 - 제한됨,제한됨,1,Trig_croTrans,cro_skill_2,1/20,1,1000000.00,CHAOS/NORMAL,,550.00,1000000,,미수록
h05G,패트릭 레드필드 붉은백작 - 제한됨,제한됨,1,Trig_RedAttack,Red_skill_1,1/22,2,"(GetUnitStateSwap(UNIT_STATE_MAX_LIFE,GetEnu | 700000.00",NORMAL/UNIVERSAL,MaxHp%,900.00,700000,,미수록
h05I,레베카 콜로세움 전설의  후예 - 제한됨,제한됨,1,Trig_RebecaAttack,Rebeca_Skill_1,1/5,2,(600000.00+(25000.00*I2R(GetUnitAbilityLevel | (2100000.00+(87500.00*I2R(GetUnitAbilityLeve,"MELEE/NORMAL,NORMAL/UNIVERSAL",,450.00,2812500,,미수록
h05I,레베카 콜로세움 전설의  후예 - 제한됨,제한됨,1,Trig_RebecaAttack,Rebeca_Skill_3,1/12,1,(800000.00+(30000.00*I2R(GetUnitAbilityLevel,MELEE/NORMAL,,850.00,830000,,미수록
h05S,돈키호테 도플라밍고 하늘귀신 - 변화된,변화된,1,Trig_Transpom2,Transpom_dp,1/10,2,"200000.00 | ((GetUnitStateSwap(UNIT_STATE_LIFE,s__TrigVa","NORMAL/UNIVERSAL,PIERCE/UNIVERSAL",CurHp%,,200000,,미수록
h05V,포트거스.D.에이스 스페이드 해적단 선장 - 변,변화된,1,Trig_Transpom3,Transpom_AceMana,MANA게이지125.00,1,1850000.00,MAGIC/UNIVERSAL,,575.00,1850000,,미수록
h05V,포트거스.D.에이스 스페이드 해적단 선장 - 변,변화된,1,Trig_Transpom3,Transpom_Ace_bulRemake,1/10,1,350000.00,NORMAL/UNIVERSAL,,400.00,350000,,미수록
h067,|CFFFFFA78세계의 가희 우타 - |CFF,,1,Trig_Uta_Attack,Uta_ArmyS,1/4,3,(I2R(s__TrigVariables__get_integerA(GlobalTV | (250000.00+((GetUnitStateSwap(UNIT_STATE_LIF | 500000.00,"HERO/UNIVERSAL,MELEE/UNIVERSAL",CurHp%,350.00,950000,,미수록
h067,|CFFFFFA78세계의 가희 우타 - |CFF,,1,Trig_Uta_Attack,Uta_skill_3_mana,1/10 AND 1/33 AND MANA게이지100.00,1,2500000.00,NORMAL/UNIVERSAL,,800.00,2500000,,미수록
h071,쿠로사키 이치고 - 랜덤전용,랜덤전용,1,Trig_ichigo1,ichigo2,1/22,0,,,,,0,,미수록
h077,간부 파견 해군 - 변화된,변화된,1,Trig_Bugi_Attacksommon2,Bugi_SommonDamage2,(게이트 없음),1,GetEventDamage(),CHAOS/NORMAL,,325.00,0,,미수록
h07I,샬롯 카타쿠리 장성 밀가루 대신 - 제한됨,제한됨,1,Trig_katakuriAttack,katakuri_Skill_2,1/7,1,375000.00,NORMAL/UNIVERSAL,,500.00,375000,,미수록
h07I,샬롯 카타쿠리 장성 밀가루 대신 - 제한됨,제한됨,1,Trig_katakuriAttack,Kata_03,1/7 AND 버프B045==true,1,((GetEventDamage()*0.75)+100000.00),CHAOS/NORMAL,,415.00,100000,,미수록
h07J,캐럿 스론 달의 사자 - 변화된,변화된,1,Trig_carrotattack,carrot_skill_2,1/9,1,325000.00,MAGIC/UNIVERSAL,,425.00,325000,,미수록
h07M,카이도 사황'백수의 왕' - 불멸의,불멸의,1,Trig_Kaido_Attack,Kaido_Skill_1_8,(게이트 없음),2,s__TrigVariables__get_realD(GlobalTV) | s__TrigVariables__get_realD(GlobalTV),"CHAOS/NORMAL,CHAOS/UNIVERSAL",,575.00,0,있음,특성표
h07M,카이도 사황'백수의 왕' - 불멸의,불멸의,1,Trig_Kaido_Attack,Kaido_Dragon_buster,(게이트 없음),2,s__TrigVariables__get_realD(GlobalTV) | s__TrigVariables__get_realD(GlobalTV),"CHAOS/NORMAL,CHAOS/UNIVERSAL",,575.00,0,있음,미수록
h084,시노부 뇌쇄 쿠노이치 - 제한됨,제한됨,1,Trig_Sinobu_Attack,Sinobu_Skill_hp2,LIFE게이지50.00 AND 버프B06B==true,3,"2250000.00 | (GetUnitStateSwap(UNIT_STATE_MAX_LIFE,s__Tri | ((GetUnitStateSwap(UNIT_STATE_MAX_LIFE,s__Tr","MELEE/UNIVERSAL,NORMAL/UNIVERSAL",MaxHp%,,2250000,,미수록
h084,시노부 뇌쇄 쿠노이치 - 제한됨,제한됨,1,Trig_Sinobu_Attack,Sinobu_Skill_4,LIFE게이지50.00 AND 1/10,1,400000.00,MAGIC/UNIVERSAL,,475.00,400000,,미수록
h084,시노부 뇌쇄 쿠노이치 - 제한됨,제한됨,1,Trig_Sinobu_Attack,Sinobu_Skill_3,LIFE게이지50.00 AND 1/8,0,,,,,0,,미수록
h086,시노부 뇌쇄 쿠노이치 - 제한됨-소환됨,제한됨,1,Trig_Sinobu_Skill_5_mirror,Sinobu_Skill_3,1/10,0,,,,,0,,미수록
h087,아마츠키 토키 시간 여행자 - 전설적인,전설적인,1,Trig_Legend31,Legend31_toki,1/7,3,125000.00 | 125000.00 | 250000.00,NORMAL/UNIVERSAL,,415.00,500000,,미수록
h088,|CFFFFFA78토트 무지카 봉인된 악보의 괴,,1,Trig_Uta_Tots,tots_R,(게이트 없음),1,4500000.00,HERO/UNIVERSAL,,415.00,4500000,,미수록
h08I,쿠치키 뱌쿠야 - 랜덤전용[제한됨],랜덤전용,1,Trig_byakuya_Attack,Byakuya_R,(게이트 없음),1,5000000.00,NORMAL/UNIVERSAL,,700.00,5000000,,미수록
h08I,쿠치키 뱌쿠야 - 랜덤전용[제한됨],랜덤전용,1,Trig_byakuya_Attack,byakuya_Q,1/10,1,850000.00,NORMAL/UNIVERSAL,,525.00,850000,,미수록
h08I,쿠치키 뱌쿠야 - 랜덤전용[제한됨],랜덤전용,1,Trig_byakuya_Attack,Byakuya_E,절대쿨14.0s,1,4500000.00,NORMAL/UNIVERSAL,,925.00,4500000,,특성표
h08I,쿠치키 뱌쿠야 - 랜덤전용[제한됨],랜덤전용,2,Trig_byakuya_Attack,byakuya_Chan,(게이트 없음),2,(425000.00+(GetUnitStateSwap(UNIT_STATE_MAX_ | 500000.00,CHAOS/UNIVERSAL,MaxHp%,725.00,925000,,미수록
h08O,마르코 흰수염 유산의 수호자 - 제한됨,제한됨,1,Trig_Marco_Attack,Marco_S2,1/7,3,"750000.00 | ((GetUnitStateSwap(UNIT_STATE_LIFE,s__TrigVa | 112500.00","CHAOS/UNIVERSAL,NORMAL/UNIVERSAL",CurHp%,475.00,862500,,미수록
h08O,마르코 흰수염 유산의 수호자 - 제한됨,제한됨,1,Trig_Marco_Attack,Marco_S1,1/7 AND 1/10,2,"((GetUnitStateSwap(UNIT_STATE_LIFE,s__TrigVa | 150000.00","CHAOS/UNIVERSAL,NORMAL/UNIVERSAL",CurHp%,,150000,,미수록
h08R,|CFFFFFA78참된 호걸 코즈키 오뎅 - |,,1,Trig_Odeng_Attack,Odeng_Skill_mana,MANA게이지145.00,1,4000000.00,NORMAL/UNIVERSAL,,600.00,4000000,,미수록
h08R,|CFFFFFA78참된 호걸 코즈키 오뎅 - |,,1,Trig_Odeng_Attack,Odeng_Skill,1/20,1,1150000.00,NORMAL/UNIVERSAL,,600.00,1150000,,미수록
h09K,옌 - 랜덤전용,랜덤전용,1,Trig_En_Attack,En_nomal,1/4,1,400000.00,NORMAL/UNIVERSAL,,500.00,400000,,미수록
h09L,이치의 율자 - 랜덤전용,랜덤전용,1,Trig_Bronya_Attack,Bronya_Skill_1,1/7,2,200000.00 | 300000.00,NORMAL/UNIVERSAL,,500.00,500000,,미수록
h09N,부릉냐 - 랜덤전용[제한됨],랜덤전용,1,Trig_BronyaMotar_Attack,BronyaMotar_R,MANA게이지150.00,3,"1000000.00 | 2500000.00 | (GetUnitStateSwap(UNIT_STATE_MAX_LIFE,s__Tri",NORMAL/UNIVERSAL,MaxHp%,500.00,3500000,,미수록
h09N,부릉냐 - 랜덤전용[제한됨],랜덤전용,1,Trig_BronyaMotar_Attack,BronyaMotar_laser,1/7,5,(250000.00*(1+((0.01*0.50)*s__TrigVariables_ | (225000.00*(1+((0.01*0.50)*s__TrigVariables_ | (250000.00*(1+((0.01*0.50),NORMAL/UNIVERSAL,MaxHp%,400.00,950000,,미수록
h09N,부릉냐 - 랜덤전용[제한됨],랜덤전용,1,Trig_BronyaMotar_Attack,BronyaMotar_E,1/5,2,(625000.00*(1+((0.01*0.50)*s__TrigVariables_ | (3125000.00+(GetUnitStateSwap(UNIT_STATE_MAX,NORMAL/UNIVERSAL,MaxHp%,"1000.00,415.00",3750000,,미수록
h09Q,불사조 흰수염 유산의 수호자 - 제한됨,제한됨,1,Trig_Marco_AttackBird,Marco_Feather1,1/5,0,,,,,0,,미수록
h09Q,불사조 흰수염 유산의 수호자 - 제한됨,제한됨,2,Trig_Marco_AttackBird,Marco_Feather2,1/5,2,(500000.00+(3.00*s__TrigVariables__get_realD | (750000.00+(4.50*s__TrigVariables__get_realD,"CHAOS/NORMAL,CHAOS/UNIVERSAL",,525.00,1250000,있음,미수록
h09R,쿠죠 죠타로 - 랜덤전용[제한됨],랜덤전용,1,Trig_Jotaro_Attack,Jotaro_R,MANA게이지150.00,2,2500000.00 | (4250000.00+((GetUnitStateSwap(UNIT_STATE_MA,HERO/NORMAL,MaxHp%,850.00,6750000,,미수록
h09R,쿠죠 죠타로 - 랜덤전용[제한됨],랜덤전용,1,Trig_Jotaro_Attack,Jotaro_E,MANA게이지150.00 AND LIFE게이지45.00,0,,,,460.00,0,,미수록
h09R,쿠죠 죠타로 - 랜덤전용[제한됨],랜덤전용,1,Trig_Jotaro_Attack,Jotaro_W,MANA게이지150.00 AND LIFE게이지45.00 AND 1/20,0,,,,525.00,0,,미수록
h09R,쿠죠 죠타로 - 랜덤전용[제한됨],랜덤전용,1,Trig_Jotaro_Attack,Jotaro_D2,MANA게이지150.00 AND LIFE게이지45.00 AND 1/7,0,,,,400.00,0,,미수록
h09W,나미카제 미나토 - 랜덤전용[제한됨],랜덤전용,1,Trig_Minato_Attack,Minato_Q2,1/6,1,600000.00,NORMAL/UNIVERSAL,,500.00,600000,,미수록
h09W,나미카제 미나토 - 랜덤전용[제한됨],랜덤전용,1,Trig_Minato_Attack,Minato_E,1/24,2,"(GetUnitStateSwap(UNIT_STATE_MAX_LIFE,s__Tri | (GetUnitStateSwap(UNIT_STATE_MAX_LIFE,s__Tri",NORMAL/UNIVERSAL,MaxHp%,,0,,미수록
h09W,나미카제 미나토 - 랜덤전용[제한됨],랜덤전용,1,Trig_Minato_Attack,Minato_Mana,MANA게이지100.00,1,775000.00,NORMAL/UNIVERSAL,,500.00,775000,,미수록
h09Z,네코마무시 밤의 왕 - 전설적인,전설적인,1,Trig_Legend32,Legend32_neko1,LIFE게이지33.00,2,(500000.00+(GetUnitStateSwap(UNIT_STATE_MAX_ | (2000000.00+(GetUnitStateSwap(UNIT_STATE_MAX,CHAOS/UNIVERSAL,MaxHp%,525.00,2500000,,미수록
h0A2,료우기 시키 - 랜덤전용[제한됨],랜덤전용,1,Trig_Ryougi_Attack,Ryougi_Shiki_R2,MANA게이지115.00,4,"5000000.00 | (GetUnitStateSwap(UNIT_STATE_MAX_LIFE,s__Tri | (GetUnitStateSwap(UNIT_STATE_MAX_LIFE,s__Tri","HERO/NORMAL,HERO/UNIVERSAL",MaxHp%,500.00,6440000,,미수록
h0A2,료우기 시키 - 랜덤전용[제한됨],랜덤전용,1,Trig_Ryougi_Attack,Ryougi_Skill_3,1/4,4,"1440000.00 | 4000000.00 | (GetUnitStateSwap(UNIT_STATE_MAX_LIFE,s__Tri","HERO/NORMAL,HERO/UNIVERSAL",MaxHp%,375.00,5440000,,미수록
h0A2,료우기 시키 - 랜덤전용[제한됨],랜덤전용,1,Trig_Ryougi_Attack,Ryougi_Shiki_2,1/4 AND 1/16,5,"1150000.00 | (GetUnitStateSwap(UNIT_STATE_MAX_LIFE,s__Tri | (GetUnitStateSwap(UNIT_STATE_MAX_LIFE,s__Tri","HERO/NORMAL,HERO/UNIVERSAL,NORMAL/NORMAL",MaxHp%,425.00,10740000,,미수록
h0A2,료우기 시키 - 랜덤전용[제한됨],랜덤전용,2,Trig_Ryougi_Attack,Ryougi_Skill_3_double,1/4,4,"1440000.00 | 4000000.00 | (GetUnitStateSwap(UNIT_STATE_MAX_LIFE,s__Tri","HERO/NORMAL,HERO/UNIVERSAL",MaxHp%,325.00,5440000,,미수록
h0A2,료우기 시키 - 랜덤전용[제한됨],랜덤전용,3,Trig_Ryougi_Attack,Ryougi_Skill_3_triple,1/4,4,"1440000.00 | 3200000.00 | (GetUnitStateSwap(UNIT_STATE_MAX_LIFE,s__Tri","HERO/NORMAL,HERO/UNIVERSAL",MaxHp%,,4640000,,미수록
h0A6,야쿠모 유카리 - 랜덤전용[제한됨],랜덤전용,1,Trig_Yukari_Attack,Yukari_D2,MANA게이지145.00,2,2000000.00 | 3000000.00,NORMAL/UNIVERSAL,,"475.00,600.00",5000000,,미수록
h0A6,야쿠모 유카리 - 랜덤전용[제한됨],랜덤전용,1,Trig_Yukari_Attack,Yukari_R2,1/20,1,300000.00,NORMAL/UNIVERSAL,,395.00,300000,,미수록
h0A6,야쿠모 유카리 - 랜덤전용[제한됨],랜덤전용,1,Trig_Yukari_Attack,Yukari_W,1/10,1,3200000.00,NORMAL/UNIVERSAL,,450.00,3200000,,미수록
h0AC,마운틴.D.히그마 - 랜덤전용[제한됨],랜덤전용,1,Trig_Higma_Attack,Higma_Q,LIFE게이지85.00 AND 1/20,2,100000.00 | 100000.00,NORMAL/UNIVERSAL,,375.00,200000,,미수록
h0AC,마운틴.D.히그마 - 랜덤전용[제한됨],랜덤전용,1,Trig_Higma_Attack,Higma_W,LIFE게이지85.00 AND 버프B05N==true,1,175000.00,NORMAL/UNIVERSAL,,400.00,175000,,미수록
h0AD,카이도 사황'백수의 왕' - 불멸의,불멸의,1,Trig_Kaido_Dragon_Attack,Kaido_Dragon_buster,LIFE게이지100.00,2,s__TrigVariables__get_realD(GlobalTV) | s__TrigVariables__get_realD(GlobalTV),"CHAOS/NORMAL,CHAOS/UNIVERSAL",,575.00,0,있음,미수록
h0AD,카이도 사황'백수의 왕' - 불멸의,불멸의,1,Trig_Kaido_Dragon_Attack,Kaido_Skill_1_8,LIFE게이지100.00 AND 절대쿨11.0s AND 1/7,2,s__TrigVariables__get_realD(GlobalTV) | s__TrigVariables__get_realD(GlobalTV),"CHAOS/NORMAL,CHAOS/UNIVERSAL",,575.00,0,있음,특성표
h0AD,카이도 사황'백수의 왕' - 불멸의,불멸의,1,Trig_Kaido_Dragon_Attack,Kaido_Dragon_Skill_2,LIFE게이지100.00,2,s__TrigVariables__get_realD(GlobalTV) | s__TrigVariables__get_realD(GlobalTV),CHAOS/NORMAL,,515.00,0,있음,미수록
h0AD,카이도 사황'백수의 왕' - 불멸의,불멸의,1,Trig_Kaido_Dragon_Attack,Kaido_Dragon_melee_1,LIFE게이지100.00,2,(s__TrigVariables__get_realD(GlobalTV)*0.56) | (s__TrigVariables__get_realD(GlobalTV)*0.35),CHAOS/NORMAL,,500.00,0,있음,미수록
h0AH,킹 백수해적단-대간판 - 전설적인,전설적인,1,Trig_Legend33,King_skill_1sc,1/7,0,,,,,0,,미수록
h0AI,킹 삼재해:화재 - 제한됨,제한됨,1,Trig_King_Attack,King_skill_1sc,1/7,0,,,,,0,,미수록
h0AI,킹 삼재해:화재 - 제한됨,제한됨,1,Trig_King_Attack,King_skill_2,(게이트 없음),1,850000.00,CHAOS/NORMAL,,475.00,850000,,미수록
h0AI,킹 삼재해:화재 - 제한됨,제한됨,1,Trig_King_Attack,King_skill_2_tr,(게이트 없음),3,1275000.00 | 10000000.00 | 100000.00,"CHAOS/NORMAL,CHAOS/UNIVERSAL",,475.00,11375000,,미수록
h0BC,타츠마키 - 랜덤전용[제한됨],랜덤전용,1,Trig_Tatsumaki_Attack,Tatsumaki_T_Explosion_by_AZ_Attack,MANA게이지85.00,1,4000000.00,CHAOS/NORMAL,,600.00,4000000,,미수록
h0BC,타츠마키 - 랜덤전용[제한됨],랜덤전용,1,Trig_Tatsumaki_Attack,Tatsumaki_Q2_Attack,LIFE게이지50.00 AND 1/7,0,,,,,0,,미수록
h0BF,키쿄우 - 랜덤전용[제한됨],랜덤전용,1,Trig_kikoyou_Attack,kikoyou_hp,LIFE게이지50.00 AND 버프B06B==true,4,"1500000.00 | 1500000.00 | (GetUnitStateSwap(UNIT_STATE_LIFE,s__TrigVar","CHAOS/UNIVERSAL,HERO/NORMAL,NORMAL/UNIVERSAL",CurHp%,400.00,4000000,,미수록
h0BF,키쿄우 - 랜덤전용[제한됨],랜덤전용,1,Trig_kikoyou_Attack,kikoyou_mana,LIFE게이지50.00 AND MANA게이지85.00,2,300000.00 | 100000.00,"CHAOS/NORMAL,NORMAL/UNIVERSAL",,525.00,400000,,미수록
h0BF,키쿄우 - 랜덤전용[제한됨],랜덤전용,1,Trig_kikoyou_Attack,kikoyou_skill_2,LIFE게이지50.00 AND 1/16,1,125000.00,NORMAL/UNIVERSAL,,425.00,125000,,미수록
h0BF,키쿄우 - 랜덤전용[제한됨],랜덤전용,1,Trig_kikoyou_Attack,kikoyou_skill_1,LIFE게이지50.00 AND 1/6,4,"350000.00 | (GetUnitStateSwap(UNIT_STATE_LIFE,s__TrigVar | (GetUnitStateSwap(UNIT_STATE_LIFE,s__TrigVar","CHAOS/NORMAL,CHAOS/UNIVERSAL,NORMAL/UNIVERSAL",CurHp%,375.00,700000,,미수록
