trigger_function	api	damage_expression	attack_type	damage_type	scales_with
Trig_Kick_1_Actions	RRD	(GetUnitStateSwap(UNIT_STATE_MAX_LIFE,s__TrigVariables__get_unitB(GlobalTV))*0.15)	CHAOS	NORMAL	최대체력
Trig_Kick_1_Actions	RRD	787500.00	CHAOS	NORMAL	고정
Trig_Kick_1_Func005Func002Func030A	RRD	1750000.00	CHAOS	NORMAL	고정
Trig_Kid_Skill_3_Func003Func006A	RRD	(300000.00*(1+(s__TrigVariables__get_realD(GlobalTV)*0.01)))	NORMAL	UNIVERSAL	변수
Trig_Kid_Skill_3_Func004Func006A	RRD	(300000.00*(1+(s__TrigVariables__get_realD(GlobalTV)*0.01)))	NORMAL	UNIVERSAL	변수
Trig_Kid_Skill_3_item_Func004Func007Func005A	RRD	(450000.00*(1+(s__TrigVariables__get_realD(GlobalTV)*0.01)))	NORMAL	UNIVERSAL	변수
Trig_Kid_Skill_Life2_Actions	RRD	((125000.00+s__TrigVariables__get_realD(GlobalTV))*(1+(s__TrigVariables__get_realE(GlobalTV)*1.00)))	NORMAL	UNIVERSAL	변수
Trig_Kid_Skill_Life2_Func003Func006A	RRD	((500000.00+s__TrigVariables__get_realD(GlobalTV))*(1+(s__TrigVariables__get_realE(GlobalTV)*0.01)))	NORMAL	UNIVERSAL	변수
Trig_Kid_Skill_Life_Actions	RRD	((150000.00+s__TrigVariables__get_realD(GlobalTV))*(1+(s__TrigVariables__get_realE(GlobalTV)*0.01)))	NORMAL	UNIVERSAL	변수
Trig_Kid_Skill_Life_Func003Func006A	RRD	((600000.00+s__TrigVariables__get_realD(GlobalTV))*(1+(s__TrigVariables__get_realE(GlobalTV)*0.01)))	NORMAL	UNIVERSAL	변수
Trig_Kid_Skill_Mana_Func003Func008A	RRD	((1000000.00+s__TrigVariables__get_realD(GlobalTV))*(1+(s__TrigVariables__get_realE(GlobalTV)*0.01)))	NORMAL	UNIVERSAL	변수
Trig_Kid_Skill_Mana_Tr_Func024A	RRD	((400000.00+s__TrigVariables__get_realD(GlobalTV))*(1+(s__TrigVariables__get_realE(GlobalTV)*0.01)))	NORMAL	UNIVERSAL	변수
Trig_Kid_Skill_Mana_Tr_Func047A	RRD	((400000.00+s__TrigVariables__get_realD(GlobalTV))*(1+(s__TrigVariables__get_realE(GlobalTV)*0.01)))	NORMAL	UNIVERSAL	변수
Trig_Kid_Skill_Mana_Tr_Func060A	RRD	((400000.00+s__TrigVariables__get_realD(GlobalTV))*(1+(s__TrigVariables__get_realE(GlobalTV)*0.01)))	NORMAL	UNIVERSAL	변수
Trig_King_skill_2_Func002Func011A	RRD	850000.00	CHAOS	NORMAL	고정
Trig_King_skill_2_tr_Actions	RRD	10000000.00	CHAOS	UNIVERSAL	고정
Trig_King_skill_2_tr_Actions	RRD	100000.00	CHAOS	UNIVERSAL	고정
Trig_King_skill_2_tr_Func002Func011A	RRD	1275000.00	CHAOS	NORMAL	고정
Trig_Kizaru_01_Actions	RRD	s__TrigVariables__get_realD(GlobalTV)	NORMAL	UNIVERSAL	변수
Trig_Kizaru_01_Actions	UnitDamagePointLoc	s__TrigVariables__get_realD(GlobalTV)	NORMAL	UNIVERSAL	변수
Trig_Kizaru_01_shoot_Func010A	RRD	200000.00	MAGIC	UNIVERSAL	고정
Trig_LaillySkill1_Func015A	RRD	GetEventDamage()	CHAOS	NORMAL	평타
Trig_LaillySkill3_Func001Func016A	RRD	3250000.00	CHAOS	NORMAL	고정
Trig_LaillySkill3_Func001Func028A	RRD	2750000.00	CHAOS	NORMAL	고정
Trig_Law_Attack_Func011A	RRD	2500000.00	NORMAL	UNIVERSAL	고정
Trig_Law_Skill_2_Actions	RRD	(GetUnitStateSwap(UNIT_STATE_LIFE,udg_Hero[1])*(0.2))	CHAOS	UNIVERSAL	현재체력
Trig_Law_Skill_2_reinforce_Actions	RRD	(GetUnitStateSwap(UNIT_STATE_LIFE,udg_Hero[1])*(0.2))	CHAOS	UNIVERSAL	현재체력
Trig_Law_skill_5_Actions	UnitDamagePointLoc	150000.00	NORMAL	UNIVERSAL	고정
Trig_Law_skill_5_Func006Func005A	RRD	(300000.00+(GetUnitStateSwap(UNIT_STATE_LIFE,s__TrigVariables__get_unitB(GlobalTV))*(0.01*1.25)))	CHAOS	UNIVERSAL	현재체력
Trig_Legend0_Func008A	RRD	47500.00	SIEGE	NORMAL	고정
Trig_Legend10_shanks_pegi1_Actions	RRD	(GetUnitStateSwap(UNIT_STATE_MAX_LIFE,GetTriggerUnit())*0.03)	NORMAL	UNIVERSAL	최대체력
Trig_Legend10_shanks_pegi2_Actions	RRD	(GetUnitStateSwap(UNIT_STATE_MAX_LIFE,GetTriggerUnit())*0.03)	NORMAL	UNIVERSAL	최대체력
Trig_Legend10_shanks_pegi3_Actions	RRD	(GetUnitStateSwap(UNIT_STATE_MAX_LIFE,GetTriggerUnit())*0.03)	NORMAL	UNIVERSAL	최대체력
Trig_Legend10_shanks_pegi4_Actions	RRD	(GetUnitStateSwap(UNIT_STATE_MAX_LIFE,GetTriggerUnit())*0.03)	NORMAL	UNIVERSAL	최대체력
Trig_Legend11_Actions	RRD	577500.00	CHAOS	NORMAL	고정
Trig_Legend12_Actions	RRD	(15000.00+(3000.00*I2R(GetUnitPointValue(s__TrigVariables__get_unitB(GlobalTV)))))	SIEGE	UNIVERSAL	변수
Trig_Legend12_Actions	RRD	(15000.00+(3000.00*I2R(GetUnitPointValue(s__TrigVariables__get_unitB(GlobalTV)))))	SIEGE	UNIVERSAL	변수
Trig_Legend12_Func017A	RRD	GetEventDamage()	CHAOS	NORMAL	평타
Trig_Legend12_Func023A	RRD	175000.00	MAGIC	UNIVERSAL	고정
Trig_Legend12_Func033A	RRD	175000.00	MAGIC	UNIVERSAL	고정
Trig_Legend13_2_Actions	RRD	750000.00	NORMAL	UNIVERSAL	고정
Trig_Legend13_2_Actions	RRD	((GetUnitStateSwap(UNIT_STATE_MAX_LIFE,s__TrigVariables__get_unitB(GlobalTV))*0.12)*(0.20+(0.05*I2R(GetUnitAbilityLevelSwapped('A11S',s__TrigVariables__get_unitB(GlobalTV))))))	PIERCE	UNIVERSAL	최대체력
Trig_Legend13_2_Actions	RRD	1500000.00	NORMAL	UNIVERSAL	고정
Trig_Legend13_2_Func017A	RRD	120000.00	NORMAL	UNIVERSAL	고정
Trig_Legend14han_petrification1_Actions	RRD	(GetUnitStateSwap(UNIT_STATE_MAX_LIFE,GetTriggerUnit())*0.03)	NORMAL	UNIVERSAL	최대체력
Trig_Legend14han_petrification2_Actions	RRD	(GetUnitStateSwap(UNIT_STATE_MAX_LIFE,GetTriggerUnit())*0.03)	NORMAL	UNIVERSAL	최대체력
Trig_Legend14han_petrification3_Actions	RRD	(GetUnitStateSwap(UNIT_STATE_MAX_LIFE,GetTriggerUnit())*0.03)	NORMAL	UNIVERSAL	최대체력
Trig_Legend14han_petrification4_Actions	RRD	(GetUnitStateSwap(UNIT_STATE_MAX_LIFE,GetTriggerUnit())*0.03)	NORMAL	UNIVERSAL	최대체력
Trig_Legend15_Actions	UnitDamagePointLoc	350000.00	NORMAL	UNIVERSAL	고정
Trig_Legend15_Func008A	RRD	(150000.00+(1500.00*I2R(GetUnitPointValue(GetEnumUnit()))))	NORMAL	UNIVERSAL	변수
Trig_Legend16sc_Actions	RRD	(10000.00+(GetUnitStateSwap(UNIT_STATE_LIFE,GetTriggerUnit())*0.15))	NORMAL	UNIVERSAL	현재체력
Trig_Legend17_MacroLifeSkill_Actions	RRD	(400000.00+(2.00*s__TrigVariables__get_realD(GlobalTV)))	CHAOS	UNIVERSAL	변수
Trig_Legend17_MacroLifeSkill_Func025A	RRD	(500000.00+(5.00*s__TrigVariables__get_realD(GlobalTV)))	CHAOS	NORMAL	변수
Trig_Legend17_Marcodamage_Func017A	RRD	(12500.00+(0.85*GetEventDamage()))	CHAOS	NORMAL	평타
Trig_Legend18_Actions	RRD	400000.00	MAGIC	UNIVERSAL	고정
Trig_Legend18_Func022A	RRD	200000.00	MAGIC	UNIVERSAL	고정
Trig_Legend19_0_Actions	RRD	((GetUnitStateSwap(UNIT_STATE_LIFE,s__TrigVariables__get_unitB(GlobalTV))*0.07)*(0.20+(0.05*I2R(GetUnitAbilityLevelSwapped('A11S',s__TrigVariables__get_unitB(GlobalTV))))))	PIERCE	UNIVERSAL	현재체력
Trig_Legend19_0_Actions	RRD	((GetUnitStateSwap(UNIT_STATE_LIFE,s__TrigVariables__get_unitB(GlobalTV))*0.07)*(0.20+(0.05*I2R(GetUnitAbilityLevelSwapped('A11S',s__TrigVariables__get_unitB(GlobalTV))))))	PIERCE	UNIVERSAL	현재체력
Trig_Legend19_0_Func023A	RRD	100000.00	NORMAL	UNIVERSAL	고정
Trig_Legend19_1_Actions	RRD	((GetUnitStateSwap(UNIT_STATE_LIFE,s__TrigVariables__get_unitB(GlobalTV))*0.05)*(0.20+(0.05*I2R(GetUnitAbilityLevelSwapped('A11S',s__TrigVariables__get_unitB(GlobalTV))))))	PIERCE	UNIVERSAL	현재체력
Trig_Legend19_1_Actions	RRD	((GetUnitStateSwap(UNIT_STATE_LIFE,s__TrigVariables__get_unitB(GlobalTV))*0.05)*(0.20+(0.05*I2R(GetUnitAbilityLevelSwapped('A11S',s__TrigVariables__get_unitB(GlobalTV))))))	PIERCE	UNIVERSAL	현재체력
Trig_Legend19_1_Actions	RRD	((GetUnitStateSwap(UNIT_STATE_LIFE,s__TrigVariables__get_unitB(GlobalTV))*0.05)*(0.20+(0.05*I2R(GetUnitAbilityLevelSwapped('A11S',s__TrigVariables__get_unitB(GlobalTV))))))	PIERCE	UNIVERSAL	현재체력
Trig_Legend1sc_Actions	RRD	((GetUnitStateSwap(UNIT_STATE_LIFE,GetTriggerUnit())*0.18)*(0.2+(0.05*I2R(GetUnitAbilityLevelSwapped('A11S',GetTriggerUnit())))))	SIEGE	UNIVERSAL	현재체력
Trig_Legend1sc_Actions	RRD	280000.00	NORMAL	UNIVERSAL	고정
Trig_Legend1sc_Func004	RRD	100000.00	NORMAL	UNIVERSAL	고정
Trig_Legend20_Actions	RRD	20000.00	NORMAL	UNIVERSAL	고정
Trig_Legend20_Func008A	RRD	250000.00	NORMAL	UNIVERSAL	고정
Trig_Legend21sc_Actions	RRD	((GetUnitStateSwap(UNIT_STATE_LIFE,GetTriggerUnit())*0.3)*(0.2+(0.05*I2R(GetUnitAbilityLevelSwapped('A11S',GetTriggerUnit())))))	SIEGE	UNIVERSAL	현재체력
Trig_Legend21sc_Actions	RRD	345000.00	CHAOS	UNIVERSAL	고정
Trig_Legend21sc_Func004	RRD	100000.00	MAGIC	UNIVERSAL	고정
Trig_Legend22_Actions	RRD	500000.00	CHAOS	UNIVERSAL	고정
Trig_Legend22_Actions	RRD	3000000.00	CHAOS	UNIVERSAL	고정
Trig_Legend22_Actions	RRD	400000.00	CHAOS	UNIVERSAL	고정
Trig_Legend22_Func016Func004A	RRD	s__TrigVariables__get_realC(GlobalTV)	NORMAL	UNIVERSAL	변수
Trig_Legend22_Func021A	RRD	s__TrigVariables__get_realC(GlobalTV)	NORMAL	UNIVERSAL	변수
Trig_Legend22_Func024Func005A	RRD	s__TrigVariables__get_realC(GlobalTV)	NORMAL	UNIVERSAL	변수
Trig_Legend23_Actions	RRD	(GetUnitStateSwap(UNIT_STATE_LIFE,GetTriggerUnit())*(0.01))	NORMAL	UNIVERSAL	현재체력
Trig_Legend23_Actions	RRD	(GetUnitStateSwap(UNIT_STATE_MAX_LIFE,GetTriggerUnit())*(0.08))	NORMAL	UNIVERSAL	최대체력
Trig_Legend23_Actions	UnitDamagePointLoc	200000.00	NORMAL	UNIVERSAL	고정
Trig_Legend25_Func007A	RRD	325000.00	MAGIC	UNIVERSAL	고정
Trig_Legend26_Func008A	RRD	(500000.00+(GetUnitStateSwap(UNIT_STATE_LIFE,GetEnumUnit())*0.01))	NORMAL	UNIVERSAL	현재체력
Trig_Legend26_tichi_crows_Actions	RRD	4000000.00	NORMAL	UNIVERSAL	고정
Trig_Legend26_tichi_crows_Actions	RRD	300000.00	NORMAL	UNIVERSAL	고정
Trig_Legend26_tichi_crows_Actions	RRD	300000.00	NORMAL	UNIVERSAL	고정
Trig_Legend28koby_Actions	RRD	((GetUnitStateSwap(UNIT_STATE_LIFE,GetTriggerUnit())*0.27)*(0.20+(0.05*I2R(GetUnitAbilityLevelSwapped('A11S',GetTriggerUnit())))))	MELEE	UNIVERSAL	현재체력
Trig_Legend28koby_Actions	RRD	100000.00	NORMAL	UNIVERSAL	고정
Trig_Legend28koby_Actions	UnitDamagePointLoc	100000.00	NORMAL	UNIVERSAL	고정
Trig_Legend29_Func002Func001Func006A	RRD	(GetUnitStateSwap(UNIT_STATE_MAX_LIFE,GetEnumUnit())*0.50)	HERO	UNIVERSAL	최대체력
Trig_Legend2_Actions	RRD	1000000.00	NORMAL	UNIVERSAL	고정
Trig_Legend30_Actions	RRD	400000.00	NORMAL	UNIVERSAL	고정
Trig_Legend30_Actions	RRD	(GetUnitStateSwap(UNIT_STATE_MAX_LIFE,GetTriggerUnit())*(0.01))	NORMAL	UNIVERSAL	최대체력
Trig_Legend30_Actions	RRD	((GetUnitStateSwap(UNIT_STATE_MAX_LIFE,GetTriggerUnit())*0.06)*(0.20+(0.05*I2R(GetUnitAbilityLevelSwapped('A11S',GetTriggerUnit())))))	MELEE	UNIVERSAL	최대체력
Trig_Legend30mirror_Actions	RRD	200000.00	NORMAL	UNIVERSAL	고정
Trig_Legend30mirror_Actions	RRD	(GetUnitStateSwap(UNIT_STATE_MAX_LIFE,GetTriggerUnit())*(0.01))	NORMAL	UNIVERSAL	최대체력
Trig_Legend30mirror_Actions	RRD	((GetUnitStateSwap(UNIT_STATE_MAX_LIFE,GetTriggerUnit())*0.02)*(0.20+(0.05*I2R(GetUnitAbilityLevelSwapped('A11S',GetTriggerUnit())))))	MELEE	UNIVERSAL	최대체력
Trig_Legend31_toki_Actions	RRD	250000.00	NORMAL	UNIVERSAL	고정
Trig_Legend31_toki_Func033A	RRD	125000.00	NORMAL	UNIVERSAL	고정
Trig_Legend31_toki_Func037A	RRD	125000.00	NORMAL	UNIVERSAL	고정
Trig_Legend32_Actions	RRD	20000.00	NORMAL	UNIVERSAL	고정
Trig_Legend32_Actions	RRD	(GetUnitStateSwap(UNIT_STATE_MAX_LIFE,GetTriggerUnit())*(0.06))	CHAOS	UNIVERSAL	최대체력
Trig_Legend32_Func007A	RRD	(222500.00+(GetUnitStateSwap(UNIT_STATE_MAX_LIFE,GetEnumUnit())*(0.01*0.24)))	CHAOS	UNIVERSAL	최대체력
Trig_Legend32_neko1_Actions	RRD	(2000000.00+(GetUnitStateSwap(UNIT_STATE_MAX_LIFE,s__TrigVariables__get_unitB(GlobalTV))*0.05))	CHAOS	UNIVERSAL	최대체력
Trig_Legend32_neko1_Func046A	RRD	(500000.00+(GetUnitStateSwap(UNIT_STATE_MAX_LIFE,GetEnumUnit())*(0.01*0.25)))	CHAOS	UNIVERSAL	최대체력
Trig_Legend34Moria_Skill_Actions	RRD	800000.00	NORMAL	UNIVERSAL	고정
Trig_Legend34Moria_Skill_Func034A	RRD	250000.00	NORMAL	UNIVERSAL	고정
Trig_Legend35ulti_trg3_Func017A	RRD	(((GetEventDamage()*1.70)+230000.00)*(0.01*I2R(GetUnitPointValue(GetEnumUnit()))))	CHAOS	UNIVERSAL	평타
Trig_Legend35ulti_trg_Func019A	RRD	((GetEventDamage()*0.85)+115000.00)	CHAOS	NORMAL	평타
Trig_Legend51_Actions	RRD	((1250000.00+(GetUnitStateSwap(UNIT_STATE_MAX_LIFE,s__TrigVariables__get_unitB(GlobalTV))*0.03))*(1.50+((0.025)*I2R(GetPlayerTechCountSimple('R01V',GetOwningPlayer(s__TrigVariables__get_unitA(GlobalTV)))))))	HERO	NORMAL	최대체력
Trig_Legend51_Func032A	RRD	((1250000.00+(GetUnitStateSwap(UNIT_STATE_MAX_LIFE,GetEnumUnit())*(0.03)))*(1+((0.025)*I2R(GetPlayerTechCountSimple('R01V',GetOwningPlayer(s__TrigVariables__get_unitA(GlobalTV)))))))	HERO	NORMAL	최대체력
Trig_Legend6_Func003Func012A	RRD	(2450000.00+((GetUnitStateSwap(UNIT_STATE_MAX_LIFE,GetEnumUnit())-GetUnitStateSwap(UNIT_STATE_LIFE,GetEnumUnit()))*0.04))	NORMAL	UNIVERSAL	최대체력
Trig_Legend7_Func008A	RRD	1200000.00	CHAOS	NORMAL	고정
Trig_Legend8_Actions	RRD	465000.00	HERO	NORMAL	고정
Trig_Legend8_Actions	UnitDamagePointLoc	232500.00	NORMAL	UNIVERSAL	고정
Trig_Legend9_Actions	RRD	450000.00	NORMAL	UNIVERSAL	고정
Trig_Legend9_Func013A	RRD	450000.00	NORMAL	UNIVERSAL	고정
Trig_Legend9_Func023A	RRD	200000.00	NORMAL	UNIVERSAL	고정
Trig_Legend_han_1_Actions	RRD	((GetUnitStateSwap(UNIT_STATE_MAX_LIFE,s__TrigVariables__get_unitB(GlobalTV))*0.05)*(0.20+(0.05*I2R(GetUnitAbilityLevelSwapped('A11S',s__TrigVariables__get_unitB(GlobalTV))))))	CHAOS	UNIVERSAL	최대체력
Trig_Legend_han_1_Actions	RRD	112500.00	NORMAL	UNIVERSAL	고정
Trig_Legend_han_1_Func018A	RRD	150000.00	NORMAL	UNIVERSAL	고정
Trig_Legend_han_kiss_damagesc_Actions	RRD	((GetUnitStateSwap(UNIT_STATE_MAX_LIFE,s__TrigVariables__get_unitB(GlobalTV))*(0.085))*(0.2+(0.05*I2R(GetUnitAbilityLevelSwapped('A11S',s__TrigVariables__get_unitB(GlobalTV))))))	CHAOS	UNIVERSAL	최대체력
Trig_Legend_han_kiss_damagesc_Actions	RRD	150000.00	NORMAL	UNIVERSAL	고정
Trig_Legend_han_kiss_damagesc_Func004	RRD	((GetEventDamage()*1.25)+80000.00)	CHAOS	UNIVERSAL	평타
Trig_Light1_Actions	RRD	((GetUnitStateSwap(UNIT_STATE_LIFE,GetTriggerUnit())*0.30)*(0.20+(0.05*I2R(GetUnitAbilityLevelSwapped('A11S',GetTriggerUnit())))))	HERO	UNIVERSAL	현재체력
Trig_Light1_Func002Func004A	RRD	(GetUnitStateSwap(UNIT_STATE_LIFE,GetEnumUnit())*0.01)	CHAOS	UNIVERSAL	현재체력
Trig_Light1_Func002Func004A	RRD	350000.00	CHAOS	NORMAL	고정
Trig_Luchi_Skill_1_Kick2_Actions	RRD	(GetUnitStateSwap(UNIT_STATE_MAX_LIFE,s__TrigVariables__get_unitB(GlobalTV))*(0.04))	CHAOS	UNIVERSAL	최대체력
Trig_Luchi_Skill_1_Kick2_Func019A	RRD	400000.00	MAGIC	UNIVERSAL	고정
Trig_Luchi_Skill_1_Kick2_Func025Func016Func002A	RRD	400000.00	MAGIC	UNIVERSAL	고정
Trig_Luchi_Skill_2_ZiGun_Actions	RRD	((GetUnitStateSwap(UNIT_STATE_LIFE,s__TrigVariables__get_unitB(GlobalTV))*0.25)*(1+((0.001)*(I2R(udg_Load_PlayCount[GetConvertedPlayerId(GetOwningPlayer(s__TrigVariables__get_unitA(GlobalTV)))])/ 200.00))))	CHAOS	UNIVERSAL	현재체력
Trig_Luchi_Skill_2_ZiGun_Actions	RRD	(500000.00*(1+((0.001)*(I2R(udg_Load_PlayCount[GetConvertedPlayerId(GetOwningPlayer(s__TrigVariables__get_unitA(GlobalTV)))])/ 200.00))))	NORMAL	UNIVERSAL	변수
Trig_Luchi_Skill_2_ZiGun_Actions	RRD	(500000.00*(1+((0.001)*(I2R(udg_Load_PlayCount[GetConvertedPlayerId(GetOwningPlayer(s__TrigVariables__get_unitA(GlobalTV)))])/ 200.00))))	NORMAL	UNIVERSAL	변수
Trig_Luchi_Skill_3_6kinggun_Actions	RRD	2000000.00	NORMAL	UNIVERSAL	고정
Trig_Luchi_Skill_3_6kinggun_Actions	RRD	(GetUnitStateSwap(UNIT_STATE_LIFE,s__TrigVariables__get_unitB(GlobalTV))*0.40)	CHAOS	UNIVERSAL	현재체력
Trig_Luchi_Skill_3_6kinggun_Func020A	RRD	(1000000.00*(0.20+(0.05*I2R(GetUnitAbilityLevelSwapped('A11S',GetEnumUnit())))))	CHAOS	UNIVERSAL	변수
Trig_MIhawk_Mana_Func031A	UnitDamageTargetBJ	((GetUnitStateSwap(UNIT_STATE_MAX_LIFE,GetEnumUnit())*0.05)+5250000.00)	CHAOS	UNIVERSAL	최대체력
Trig_Marco_Feather2_Actions	RRD	(750000.00+(4.50*s__TrigVariables__get_realD(GlobalTV)))	CHAOS	UNIVERSAL	변수
Trig_Marco_Feather2_Func025A	RRD	(500000.00+(3.00*s__TrigVariables__get_realD(GlobalTV)))	CHAOS	NORMAL	변수
Trig_Marco_S1_Actions	RRD	((GetUnitStateSwap(UNIT_STATE_LIFE,s__TrigVariables__get_unitB(GlobalTV))*0.20)*(0.20+(0.05*I2R(GetUnitAbilityLevelSwapped('A11S',s__TrigVariables__get_unitB(GlobalTV))))))	CHAOS	UNIVERSAL	현재체력
Trig_Marco_S1_Actions	RRD	150000.00	NORMAL	UNIVERSAL	고정
Trig_Marco_S2_Actions	RRD	((GetUnitStateSwap(UNIT_STATE_LIFE,s__TrigVariables__get_unitB(GlobalTV))*0.30)*(0.20+(0.05*I2R(GetUnitAbilityLevelSwapped('A11S',s__TrigVariables__get_unitB(GlobalTV))))))	CHAOS	UNIVERSAL	현재체력
Trig_Marco_S2_Actions	RRD	112500.00	NORMAL	UNIVERSAL	고정
Trig_Marco_S2_Func036A	RRD	750000.00	NORMAL	UNIVERSAL	고정
Trig_Mihawk_2_Actions	UnitDamageTargetBJ	250000.00	MAGIC	UNIVERSAL	고정
Trig_Mihawk_2_Func006Func013A	UnitDamageTargetBJ	300000.00	MAGIC	UNIVERSAL	고정
Trig_Mihawk_2_Func007Func005A	UnitDamageTargetBJ	300000.00	MAGIC	UNIVERSAL	고정
Trig_Mihawk_2_Func012Func005A	UnitDamageTargetBJ	500000.00	MAGIC	UNIVERSAL	고정
Trig_Mihawk_4_Func003Func007Func007A	UnitDamageTargetBJ	450000.00	MAGIC	UNIVERSAL	고정
Trig_Minato_E_Actions	RRD	(GetUnitStateSwap(UNIT_STATE_MAX_LIFE,s__TrigVariables__get_unitB(GlobalTV))*0.15)	NORMAL	UNIVERSAL	최대체력
Trig_Minato_E_Actions	RRD	(GetUnitStateSwap(UNIT_STATE_MAX_LIFE,s__TrigVariables__get_unitB(GlobalTV))*0.01)	NORMAL	UNIVERSAL	최대체력
Trig_Minato_Mana_Func047A	RRD	775000.00	NORMAL	UNIVERSAL	고정
Trig_Minato_Q2_Func066A	RRD	600000.00	NORMAL	UNIVERSAL	고정
Trig_Nami_Skill_1_Func022A	RRD	(300000.00+s__TrigVariables__get_realD(GlobalTV))	NORMAL	UNIVERSAL	변수
Trig_Nami_Skill_1_Func035A	RRD	(450000.00+(s__TrigVariables__get_realD(GlobalTV)*1.50))	NORMAL	UNIVERSAL	변수
Trig_Nami_Skill_2_Actions	RRD	800000.00	NORMAL	UNIVERSAL	고정
Trig_Nami_Skill_2_Actions	RRD	400000.00	NORMAL	UNIVERSAL	고정
Trig_Nami_Skill_2_Actions	RRD	400000.00	NORMAL	UNIVERSAL	고정
Trig_Nami_Skill_2_Actions	UnitDamagePointLoc	800000.00	NORMAL	UNIVERSAL	고정
Trig_Nami_Skill_2_Actions	UnitDamagePointLoc	400000.00	NORMAL	UNIVERSAL	고정
Trig_Nami_Skill_2_Actions	UnitDamagePointLoc	400000.00	NORMAL	UNIVERSAL	고정
Trig_Nami_Skill_4_Func018A	RRD	350000.00	NORMAL	UNIVERSAL	고정
Trig_Nika_AttackDamage_Actions	RRD	((GetEventDamage()*5.00)+500000.00)	CHAOS	UNIVERSAL	평타
Trig_Nika_AttackDamage_Actions	RRD	((GetEventDamage()*2.00)+200000.00)	CHAOS	UNIVERSAL	평타
Trig_Nika_AttackDamage_Func018A	RRD	((GetEventDamage()*5.00)+1000000.00)	CHAOS	NORMAL	평타
Trig_Nika_AttackDamage_Func031A	RRD	((GetEventDamage()*2.00)+200000.00)	CHAOS	NORMAL	평타
Trig_Nika_Attack_Func020A	RRD	8500000.00	HERO	NORMAL	고정
Trig_Nika_Attack_Func056A	RRD	750000.00	HERO	NORMAL	고정
Trig_Nika_Random_Punch_Actions	RRD	(450000.00*(1+(0.01*(GetUnitMoveSpeed(s__TrigVariables__get_unitB(GlobalTV))*0.30))))	CHAOS	UNIVERSAL	변수
Trig_Nika_Random_Punch_Func018Func011A	RRD	(450000.00*(1+(0.01*(GetUnitMoveSpeed(GetEnumUnit())*0.30))))	CHAOS	NORMAL	변수
Trig_Odeng_Attack_Actions	RRD	1150000.00	HERO	NORMAL	고정
Trig_Odeng_Attack_Func023A	RRD	1500000.00	HERO	NORMAL	고정
Trig_Odeng_Skill_Func002Func001Func003Func002A	RRD	1150000.00	NORMAL	UNIVERSAL	고정
Trig_Odeng_Skill_mana_Func004Func002A	RRD	4000000.00	NORMAL	UNIVERSAL	고정
Trig_Odeng_dibuff_Actions	RRD	175000.00	NORMAL	UNIVERSAL	고정
Trig_Odeng_dibuff_Func006A	RRD	175000.00	NORMAL	UNIVERSAL	고정
Trig_Pirates_docking_1_Actions	UnitDamageTargetBJ	(0.15*GetUnitStateSwap(UNIT_STATE_MAX_LIFE,GetSpellTargetUnit()))	NORMAL	UNIVERSAL	최대체력
Trig_Rebeca_Skill_1_Actions	RRD	(2100000.00+(87500.00*I2R(GetUnitAbilityLevelSwapped('A0QW',udg_Hero_Rebeca[0]))))	NORMAL	UNIVERSAL	변수
Trig_Rebeca_Skill_1_Func009A	RRD	(600000.00+(25000.00*I2R(GetUnitAbilityLevelSwapped('A0QW',udg_Hero_Rebeca[0]))))	MELEE	NORMAL	변수
Trig_Rebeca_Skill_3_Func018A	RRD	(800000.00+(30000.00*I2R(GetUnitAbilityLevelSwapped('A0QW',s__TrigVariables__get_unitA(GlobalTV)))))	MELEE	NORMAL	변수
Trig_RedAttack_Actions	RRD	((GetUnitStateSwap(UNIT_STATE_MAX_LIFE,GetTriggerUnit())*(0.0275))*1.00)	CHAOS	UNIVERSAL	최대체력
Trig_RedAttack_Actions	RRD	162500.00	NORMAL	UNIVERSAL	고정
Trig_Red_skill_1_Func006A	RRD	(GetUnitStateSwap(UNIT_STATE_MAX_LIFE,GetEnumUnit())*(0.01*0.80))	NORMAL	UNIVERSAL	최대체력
Trig_Red_skill_1_Func006A	RRD	700000.00	NORMAL	UNIVERSAL	고정
Trig_Robine_skill_1_Actions	RRD	200000.00	MAGIC	UNIVERSAL	고정
Trig_Robine_skill_1_Func023A	RRD	(1850000.00+(GetUnitStateSwap(UNIT_STATE_LIFE,GetEnumUnit())*0.01))	CHAOS	NORMAL	현재체력
Trig_Robine_skill_2_Func006A	RRD	400000.00	NORMAL	UNIVERSAL	고정
Trig_Robine_skill_3_Func019A	RRD	600000.00	CHAOS	NORMAL	고정
Trig_RokuguTree_Attack_Func013A	RRD	(1250000.00+(I2R(GetItemCharges(udg_Item_Ryokugu[GetConvertedPlayerId(GetOwningPlayer(GetAttacker()))]))*2285.00))	CHAOS	NORMAL	변수
Trig_Rokugu_Attack_Func023A	RRD	(1000000.00+(I2R(GetItemCharges(udg_Item_Ryokugu[GetConvertedPlayerId(GetOwningPlayer(GetAttacker()))]))*1825.00))	CHAOS	NORMAL	변수
Trig_Rokugu_Tree_S_Func022A	RRD	(2000000.00+(s__TrigVariables__get_realC(GlobalTV)+s__TrigVariables__get_realD(GlobalTV)))	CHAOS	NORMAL	변수
